	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q18238_REVERSED	Uncharacterized protein (Q18238_REVERSED_CAEEL)-REVERSED			18.86437509101302	100.0	0.0	0.0				Single Protein		Q18238_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
2	O18110	Serpentine Receptor, class I (O18110_CAEEL)	sri-11	I	40.08766286786299	38.4	0.0	0.0				Single Protein		O18110	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
3	Q17477_REVERSED	Uncharacterized protein (Q17477_REVERSED_CAEEL)-REVERSED			46.788521719046706	91.19	0.0	0.0				Single Protein		Q17477_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
4	Q09535	Putative pachytene checkpoint protein 2 (PCH2_CAEEL)	pch-2	II	47.99244946926639	89.62	0.0	0.0				Single Protein		Q09535	0	1	1	0	1	0	2	5.309734513274334	0	Doubtful
5	Q8ITW3_REVERSED	GEX Interacting protein (Q8ITW3_REVERSED_CAEEL)-REVERSED			62.67516224068395	60.11	0.0	0.0				Single Protein		Q8ITW3_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
6	Q3V5K0_REVERSED	PLeXin (Q3V5K0_REVERSED_CAEEL)-REVERSED			216.77774375421987	86.74	0.0	0.0				Related Proteins	U4PRY7_REVERSED	Q3V5K0_REVERSED, U4PRY7_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
7	B2D6L6	MARCH (Membrane-Associated Ring finger (C3HC4)) homolog (B2D6L6_CAEEL)	marc-1	V	23.358977133650008	76.7	0.0	0.0				Single Protein		B2D6L6	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
8	Q966F7	Homolog of Odr-2 (Two) (Q966F7_CAEEL)	hot-8	X	21.77366470303234	59.07	0.0	0.0				Single Protein		Q966F7	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
9	Q20068_REVERSED	TuBulin folding Cofactor E homolog (Q20068_REVERSED_CAEEL)-REVERSED			56.677277868636565	93.31	0.0	0.0				Single Protein		Q20068_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
10	E0DBL0_REVERSED	Uncharacterized protein (E0DBL0_REVERSED_CAEEL)-REVERSED			40.8458090939617	81.62	0.0	0.0				Single Protein		E0DBL0_REVERSED	0	1	1	0	1	0	2	5.309734513274334	1	Doubtful
11	Q21555_REVERSED	Uncharacterized protein (Q21555_REVERSED_CAEEL)-REVERSED			53.032868123502396	81.05	0.0	0.0				Single Protein		Q21555_REVERSED	0	1	1	0	1	0	2	5.309734513274334	1	Doubtful
12	O17699_REVERSED	Serpentine receptor class gamma-47 (SRG47_CAEEL)-REVERSED			36.02828773251277	71.52	0.0	0.0				Single Protein		O17699_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
13	Q21194_REVERSED	Guanine nucleotide exchange factor rei-2 (REI2_CAEEL)-REVERSED			48.90471475452106	100.0	0.0	0.0				Single Protein		Q21194_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
14	T21E3.3_5_REVERSED	ref_frame-1|T21E3.3alt_frame-2-REVERSED			6.489300233012182	100.0	0.0	0.0				Single Protein		T21E3.3_5_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
15	F57C7.4_5_REVERSED	ref_frame-1|F57C7.4alt_frame-2-REVERSED			5.541129496672301	100.0	0.0	0.0				Single Protein		F57C7.4_5_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
16	R07E3.6_2	ref_frame-1|R07E3.6alt_frame-2			11.270357864202449	100.0	0.0	0.0				Single Protein		R07E3.6_2	0	1	1	0	1	0	2	5.309734513274334	0	Doubtful
17	G5EG14	Cactin (CATIN_CAEEL)	cacn-1	II	77.36995713416728	94.98	0.0	0.0				Single Protein		G5EG14	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
18	H2L0N9_REVERSED	Uncharacterized protein (H2L0N9_REVERSED_CAEEL)-REVERSED			91.76489272770428	100.0	0.0	0.0				Related Proteins	Q6AW03_REVERSED	H2L0N9_REVERSED, Q6AW03_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
19	O62305_REVERSED	Calcium/calmodulin-dependent protein kinase type II (KCC2D_CAEEL)-REVERSED			79.87738858984709	83.33	0.0	0.0				Related Proteins	F5GUA9_REVERSED	F5GUA9_REVERSED, O62305_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
20	Q22671_REVERSED	Uncharacterized protein (Q22671_REVERSED_CAEEL)-REVERSED			51.73740176697933	91.44	0.0	0.0				Single Protein		Q22671_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
21	Q17796_REVERSED	Hepatocyte Growth factor-Regulated TK Substrate (HRS) family (Q17796_REVERSED_CAEEL)-REVERSED			83.2989194965902	66.8	0.0	0.0				Single Protein		Q17796_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
22	Q18301_REVERSED	Protein PHosphatase (Q18301_REVERSED_CAEEL)-REVERSED			48.66911634831884	100.0	0.0	0.0				Unrelated Proteins	Q23602_REVERSED	Q18301_REVERSED, Q23602_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
23	Q9BIG5	Guanine nucleotide-binding protein alpha-4 subunit (GPA4_CAEEL)	gpa-4	IV	41.643596203436	100.0	0.0	0.0				Single Protein		Q9BIG5	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
24	P18947_REVERSED	Vitellogenin-4 (VIT4_CAEEL)-REVERSED			186.19181637128867	93.7	0.0	0.0				Related Proteins	P06125_REVERSED, Q9N4J2_REVERSED	P06125_REVERSED, P18947_REVERSED, Q9N4J2_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
25	Q8WQG4_REVERSED	Chaperonin Containing TCP-1 (Q8WQG4_REVERSED_CAEEL)-REVERSED			37.023435571189474	100.0	0.0	0.0				Related Proteins	P47209_REVERSED	P47209_REVERSED, Q8WQG4_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
26	P91228_REVERSED	Uncharacterized protein (P91228_REVERSED_CAEEL)-REVERSED			46.641538241111995	62.86	0.0	0.0				Single Protein		P91228_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
27	O02215	Cystathionine Beta Lyase (O02215_CAEEL)	cbl-1	I	49.76147496616912	78.49	0.0	0.0				Single Protein		O02215	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
28	H2FLF4	RNA helicase (H2FLF4_CAEEL)	CELE_ZK512.2		58.68605190593825	100.0	0.0	0.0				Related Proteins	P34640	H2FLF4, P34640	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
29	P91221	Uncharacterized protein (P91221_CAEEL)	CELE_F07E5.4		11.727152864529858	100.0	0.0	0.0				Single Protein		P91221	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
30	C27A7.2_2	ref_frame-3|C27A7.2alt_frame-3			6.962709743365433	100.0	0.0	0.0				Single Protein		C27A7.2_2	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
31	Q9N372_REVERSED	Uncharacterized protein (Q9N372_REVERSED_CAEEL)-REVERSED			41.41205623030282	87.4	0.0	0.0				Single Protein		Q9N372_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
32	Q19683_REVERSED	Uncharacterized protein F21D5.5 (YZR5_CAEEL)-REVERSED			46.158457203696734	92.38	0.0	0.0				Single Protein		Q19683_REVERSED	0	1	1	0	1	0	2	5.309734513274334	1	Doubtful
33	O62074	Uncharacterized protein (O62074_CAEEL)	C25F9.2	V	174.99752246188575	92.19	0.0	0.0				Single Protein		O62074	0	2	2	0	2	0	2	6.779661016949157	0	Doubtful
34	A0A0S4XR62	F-box C protein (A0A0S4XR62_CAEEL)	fbxc-39	II	23.141171705856262	78.57	0.0	0.0				Related Proteins	Q9N5U0	A0A0S4XR62, Q9N5U0	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
35	O16977	Zinc metalloproteinase nas-32 (NAS32_CAEEL)	nas-32	V	72.71403089119063	72.96	0.0	0.0				Single Protein		O16977	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
36	Q18665_REVERSED	Uncharacterized protein (Q18665_REVERSED_CAEEL)-REVERSED			30.21589556731273	59.56	0.0	0.0				Single Protein		Q18665_REVERSED	0	1	1	0	1	0	2	5.309734513274334	1	Doubtful
37	R11A8.7c_9_REVERSED	ref_frame-3|R11A8.7alt_frame-1-REVERSED			5.5991401528987215	100.0	0.0	0.0				Single Protein		R11A8.7c_9_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
38	T17A3.10_1_REVERSED	ref_frame-1|T17A3.10alt_frame-2-REVERSED			5.216676816222821	100.0	0.0	0.0				Single Protein		T17A3.10_1_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
39	T10B9.2_3_REVERSED	ref_frame-2|T10B9.2alt_frame-3-REVERSED			5.634107832627592	100.0	0.0	0.0				Single Protein		T10B9.2_3_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
40	B5U8M2_REVERSED	SMAll (B5U8M2_REVERSED_CAEEL)-REVERSED			242.41575381130858	65.76	0.0	0.0				Related Proteins	B5U8M3_REVERSED, Q22190_REVERSED, Q7JM42_REVERSED, Q7JM43_REVERSED, Q7JM44_REVERSED, Q7JM45_REVERSED, Q7JM46_REVERSED, Q7JM47_REVERSED, Q7JM48_REVERSED, Q8MPY1_REVERSED	B5U8M2_REVERSED, B5U8M3_REVERSED, Q22190_REVERSED, Q7JM42_REVERSED, Q7JM43_REVERSED, Q7JM44_REVERSED, Q7JM45_REVERSED, Q7JM46_REVERSED, Q7JM47_REVERSED, Q7JM48_REVERSED, Q8MPY1_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
41	Q17551	E3 ubiquitin-protein ligase rpm-1 (RPM1_CAEEL)	rpm-1	V	417.78907171854513	79.77	0.0	0.0				Unrelated Proteins	Q965Y9	Q17551, Q965Y9	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
42	C06E7.6_1	ref_frame-1|C06E7.6alt_frame-2			7.6328258296208125	100.0	0.0	0.0				Single Protein		C06E7.6_1	0	1	1	0	1	0	2	5.309734513274334	0	Doubtful
43	D7SFQ0_REVERSED	Uncharacterized protein (D7SFQ0_REVERSED_CAEEL)-REVERSED			5.6930771118565415	100.0	0.0	0.0				Single Protein		D7SFQ0_REVERSED	0	1	1	0	1	0	2	5.309734513274334	1	Doubtful
44	T20G5.5_3	ref_frame-1|T20G5.5alt_frame-2			5.545920157722671	100.0	0.0	0.0				Single Protein		T20G5.5_3	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
45	A0A0K3AS73_REVERSED	Myotonic dystrophy-Related, Cdc42-binding Kinase homolog (A0A0K3AS73_REVERSED_CAEEL)-REVERSED			148.48843629541412	82.14	0.0	0.0				Related Proteins	A0A0K3AUZ7_REVERSED, A0A0K3AVQ9_REVERSED, O01583_REVERSED	A0A0K3AS73_REVERSED, A0A0K3AUZ7_REVERSED, A0A0K3AVQ9_REVERSED, O01583_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
46	Q21743_REVERSED	Probable glutathione S-transferase 9 (GST9_CAEEL)-REVERSED			23.521996682194825	84.47	0.0	0.0				Single Protein		Q21743_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
47	H9G2Z7	Uncharacterized protein (H9G2Z7_CAEEL)	C30H6.12	IV	18.070570496957234	80.0	0.0	0.0				Related Proteins	H9G2Z6	H9G2Z6, H9G2Z7	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
48	E0AHD7_REVERSED	Uncharacterized protein (E0AHD7_REVERSED_CAEEL)-REVERSED			39.276247917011055	90.34	0.0	0.0				Related Proteins	Q52GX9_REVERSED	E0AHD7_REVERSED, Q52GX9_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
49	Q93547_REVERSED	Uncharacterized protein (Q93547_REVERSED_CAEEL)-REVERSED			231.89325027772534	92.68	0.0	0.0				Single Protein		Q93547_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
50	T10B5.3_2_REVERSED	ref_frame-1|T10B5.3alt_frame-2-REVERSED			5.07681477077946	100.0	0.0	0.0				Single Protein		T10B5.3_2_REVERSED	0	1	1	0	1	0	1	5.309734513274334	1	Doubtful
51	ZK1037.5_1	ref_frame-1|ZK1037.5alt_frame-2			6.08333683169652	100.0	0.0	0.0				Single Protein		ZK1037.5_1	0	1	1	0	1	0	1	5.309734513274334	0	Doubtful
