	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	100.0	0.0	0.0					Single Protein		Q86GC1	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Y46H3D.5a.1_1	ref_frame-1|Y46H3D.5alt_frame-2			6.809944784000784	100.0	0.0	0.0					Single Protein		Y46H3D.5a.1_1	0	1	1	0	1	0	0	1	0.0	Doubtful
3	Q22621	Uncharacterized protein (Q22621_CAEEL)	CELE_T20H4.2		28.002253497311692	100.0	0.0	0.0					Single Protein		Q22621	0	2	2	0	2	0	0	2	0.0	Doubtful
4	Q22625	Uncharacterized protein (Q22625_CAEEL)	CELE_T21B10.4		47.99222658872762	67.46	0.0	0.0					Single Protein		Q22625	0	1	1	0	1	0	0	1	0.0	Doubtful
5	H1UBK1	Methionine aminopeptidase 2 (H1UBK1_CAEEL)	map-2	IV	52.34145056635242	91.45	0.0	0.0					Related Proteins	H1UBK2, Q9U2V9	H1UBK1, H1UBK2, Q9U2V9	0	1	1	0	1	0	0	1	0.0	Doubtful
6	O61771	Uncharacterized protein (O61771_CAEEL)	C35E7.5	I	144.3318342448458	70.44	0.0	0.0					Single Protein		O61771	0	1	1	0	1	0	0	1	0.0	Doubtful
7	G5EF00	GLoBin related (G5EF00_CAEEL)	glb-30	III	31.04669743701194	100.0	0.0	0.0					Single Protein		G5EF00	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q10653	G2/mitotic-specific cyclin-B1 (CCNB1_CAEEL)	cyb-1	IV	40.49288293652742	91.41	0.0	0.0					Single Protein		Q10653	0	1	1	0	1	0	0	1	0.0	Doubtful
9	P48166	Ribosomal protein rpl-41 (RL44_CAEEL)	rpl-41	II	12.358713545584092	100.0	0.0	0.0					Single Protein		P48166	0	1	1	0	1	0	0	1	0.0	Doubtful
10	ZC455.6b_2	ref_frame-1|ZC455.6alt_frame-3			7.061435906666281	45.9	0.0	0.0					Related Proteins	Q23336	Q23336, ZC455.6b_2	0	1	1	0	1	0	0	1	0.0	Doubtful
11	H16D19.1_1	ref_frame-1|H16D19.1alt_frame-2			6.173373702670782	100.0	0.0	0.0					Single Protein		H16D19.1_1	0	1	1	0	1	0	0	2	0.0	Doubtful
12	Q09641	alpha-1,2-Mannosidase (Q09641_CAEEL)	CELE_ZC506.1		106.39706791589897	85.71	0.0	0.0					Single Protein		Q09641	0	1	1	0	1	0	0	2	0.0	Doubtful
13	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0					Single Protein		F36H12.5_2	0	2	2	0	2	0	0	2	0.0	Doubtful
14	T23F1.5_1	ref_frame-3|T23F1.5alt_frame-1			7.162802055207515	100.0	0.0	0.0					Single Protein		T23F1.5_1	0	1	1	0	1	0	0	1	0.0	Doubtful
15	C02B10.3.1_2	ref_frame-1|C02B10.3alt_frame-2			13.5678493718001	71.67	0.0	0.0					Single Protein		C02B10.3.1_2	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	93.84	0.0	0.0					Single Protein		Q6BET0	0	1	1	0	1	0	0	1	0.0	Doubtful
17	Q6BET3	Serpentine Receptor, class Z (Q6BET3_CAEEL)	srz-3	I	37.711947454598494	64.11	0.0	0.0					Single Protein		Q6BET3	0	1	1	0	1	0	0	1	0.0	Doubtful
18	Q9U2D9	Glycogen [starch] synthase (GYS_CAEEL)	gsy-1	II	76.41010779030543	92.56	0.0	0.0					Single Protein		Q9U2D9	0	1	1	0	1	0	0	1	0.0	Doubtful
19	Y102A5A.1_2	ref_frame-1|Y102A5A.1alt_frame-2			12.39975822991906	100.0	0.0	0.0					Single Protein		Y102A5A.1_2	0	1	1	0	1	0	0	1	0.0	Doubtful
20	Q09633	RNase H (Q09633_CAEEL)	rnh-1.1	II	55.548761385890664	92.9	0.0	0.0					Single Protein		Q09633	0	1	1	0	1	0	0	1	0.0	Doubtful
21	K7STE9	KCNL-2 variant (K7STE9_CAEEL)	kcnl-2	I	72.78552069581202	93.71	0.0	0.0					Related Proteins	G5EBM2, G5ECM0, G5EDA9, G5EEU0, G5EGU5, V6CLJ1, V6CLK4	G5EBM2, G5ECM0, G5EDA9, G5EEU0, G5EGU5, K7STE9, V6CLJ1, V6CLK4	0	1	1	0	1	0	0	1	0.0	Doubtful
22	Q09629	Probable adenylate kinase isoenzyme ZK673.2 (KADY_CAEEL)	ZK673.2	II	24.88804857972391	100.0	0.0	0.0					Single Protein		Q09629	0	2	2	0	2	0	0	2	0.0	Doubtful
23	T27F6.1_2	ref_frame-2|T27F6.1alt_frame-3			7.84314435706967	50.0	0.0	0.0					Single Protein		T27F6.1_2	0	1	1	0	1	0	0	1	0.0	Doubtful
24	Q21319	Phospholipid scramblase (Q21319_CAEEL)	scrm-8	IV	33.600137717502854	71.43	0.0	0.0					Single Protein		Q21319	0	1	1	0	1	0	0	2	0.0	Doubtful
25	Q1W0R5	Uncharacterized protein (Q1W0R5_CAEEL)	CELE_F10G7.10		208.49321451033157	92.05	0.0	0.0					Related Proteins	Q1W0R6, Q1W0R7	Q1W0R5, Q1W0R6, Q1W0R7	0	2	2	0	2	0	0	2	0.0	Doubtful
26	Q9TYV2	Sphingomyelin synthase-related 2 (SMSR2_CAEEL)	W07E6.3	II	44.01059392999371	90.55	0.0	0.0					Single Protein		Q9TYV2	0	1	1	0	1	0	0	1	0.0	Doubtful
27	Q21321	Uncharacterized protein (Q21321_CAEEL)	CELE_K08D10.5		67.39198645652607	100.0	0.0	0.0					Single Protein		Q21321	0	1	1	0	1	0	0	1	0.0	Doubtful
28	Q22653	Uncharacterized protein (Q22653_CAEEL)	CELE_T21E8.4		17.887198833940587	100.0	0.0	0.0					Single Protein		Q22653	0	1	1	0	1	0	0	1	0.0	Doubtful
29	Q95NU5	Torsin-like protein (TORS_CAEEL)	ooc-5	II	40.78799539349946	90.45	0.0	0.0					Single Protein		Q95NU5	0	1	1	0	1	0	0	1	0.0	Doubtful
30	D2089.1b.4_2	ref_frame-3|D2089.1alt_frame-3			4.614009885765001	21.43	0.0	0.0					Related Proteins	O01159	D2089.1b.4_2, O01159	0	1	1	0	1	0	0	1	0.0	Doubtful
31	O61762	Uncharacterized protein (O61762_CAEEL)	CELE_ZK380.2		57.70604522570492	90.3	0.0	0.0					Single Protein		O61762	0	1	1	0	1	0	0	1	0.0	Doubtful
32	G5EF11	E2F-like (Mammalian transcription factor) (G5EF11_CAEEL)	efl-1	V	39.522201752015285	90.94	0.0	0.0					Single Protein		G5EF11	0	1	1	0	1	0	0	1	0.0	Doubtful
33	Q19015	p-GlycoProtein related (Q19015_CAEEL)	pgp-11	II	140.8835849441297	72.99	0.0	0.0					Single Protein		Q19015	0	1	1	0	1	0	0	1	0.0	Doubtful
34	G5EF47	SMG-7 (G5EF47_CAEEL)	smg-7	IV	52.97242440226586	92.14	0.0	0.0					Single Protein		G5EF47	0	1	1	0	1	0	0	1	0.0	Doubtful
35	A0A061AKU0	Uncharacterized protein (A0A061AKU0_CAEEL)	CELE_Y64G10A.7		167.98906983647385	80.81	0.0	0.0					Related Proteins	G5ECL0, G5EFX3, N1NTK8, N1NVB8	A0A061AKU0, G5ECL0, G5EFX3, N1NTK8, N1NVB8	0	2	2	0	2	0	0	2	0.0	Doubtful
36	Q9N5Z3	TOLl (Drosophila) family (Q9N5Z3_CAEEL)	tol-1	I	136.00722102033495	81.82	0.0	0.0					Single Protein		Q9N5Z3	0	1	1	0	1	0	0	1	0.0	Doubtful
37	P54816	Tat-binding homolog 7 (TBP7_CAEEL)	lex-1	IV	146.33008969124649	85.28	0.0	0.0					Single Protein		P54816	0	1	1	0	1	0	0	1	0.0	Doubtful
38	Q9GT24	Probable serine/threonine-protein kinase zyg-1 (ZYG1_CAEEL)	zyg-1	II	79.36536590904139	84.7	0.0	0.0					Single Protein		Q9GT24	0	2	2	0	2	0	0	2	0.0	Doubtful
