	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	65.8	16.67	601.108962189708					Related Proteins	Q5VTE0	P68104, Q5VTE0	6	9	8	6	9	6	16	19	100.0	Confident
2	P17858				84.96415970347064	69.74	3.08	107.58287844113015					Single Protein		P17858	2	3	3	2	3	2	3	4	100.0	Confident
3	P09382				14.706199322903753	80.74	65.93	1439.219840479119					Single Protein		P09382	6	7	7	6	7	6	14	24	100.0	Confident
4	Q5JTJ3				14.106853688611848	77.6	11.2	542.217707343296					Single Protein		Q5JTJ3	1	1	1	1	1	1	2	2	100.0	Doubtful
5	Q9UK76				16.004911273188526	72.73	9.74	302.57684561567856					Single Protein		Q9UK76	1	1	1	1	1	1	1	1	100.0	Doubtful
6	O43175				56.61440433066414	60.41	26.08	616.5267383808482	Oxidation of M(M477)	Oxidation of M(1)			Single Protein		O43175	11	16	15	10	16	11	28	35	100.0	Confident
7	Q5JS54				13.765969093009959	100.0	20.33	275.5171277150895					Single Protein		Q5JS54	1	1	1	1	1	1	1	1	100.0	Doubtful
8	P17931				26.136053217437922	48.8	28.0	2416.6465439993203					Single Protein		P17931	6	6	6	6	6	6	20	29	100.0	Confident
9	O60361				15.518981266030476	100.0	7.3	494.72418553220433					Related Proteins	P22392	O60361, P22392	1	2	2	1	2	1	4	4	100.0	Doubtful
10	P08107				70.00903707472403	77.69	8.42	144.99998059325895					Single Protein		P08107	5	6	3	2	6	5	8	10	100.0	Confident
11	P31942				36.90308163249408	68.5	15.9	224.13099675235446					Single Protein		P31942	4	9	8	4	8	4	4	17	100.0	Confident
12	P31943				49.19840896001632	71.71	28.29	515.7649760560065					Single Protein		P31943	10	12	11	10	11	10	21	36	100.0	Confident
13	P31948				62.5994056613524	94.11	19.89	446.06966704707446					Single Protein		P31948	14	24	24	14	24	14	35	56	100.0	Confident
14	P31939				64.57534202226608	95.61	21.62	420.336482828267					Single Protein		P31939	7	13	13	7	13	7	19	26	100.0	Confident
15	O75391				26.018236816602716	100.0	10.13	149.28901633901324					Single Protein		O75391	1	1	1	1	1	1	1	1	100.0	Doubtful
16	O75347				12.84671093630977	100.0	16.67	313.7833954532963					Single Protein		O75347	1	2	2	1	2	1	1	2	100.0	Doubtful
17	O75340				21.85478539004197	68.59	26.7	1537.1414435496918					Single Protein		O75340	3	4	4	3	4	3	13	14	100.0	Confident
18	Q99832				59.328924128279205	89.13	6.26	165.79553184420743					Single Protein		Q99832	2	2	2	2	2	2	3	3	100.0	Confident
19	Q9HD15				25.6569303617842	83.05	3.81	345.8021092750612					Single Protein		Q9HD15	1	1	1	1	1	1	2	2	100.0	Doubtful
20	Q8WVJ2				17.664743539829573	63.69	12.74	1075.8287844113015					Single Protein		Q8WVJ2	2	3	3	2	3	2	6	6	100.0	Confident
21	Q9UI12				55.84706500374094	87.78	4.76	150.28206966277608					Single Protein		Q9UI12	1	1	1	1	1	1	2	2	100.0	Doubtful
22	P30740				42.714702418590555	71.5	2.64	112.96202236318668					Single Protein		P30740	1	4	4	1	4	1	2	4	100.0	Doubtful
23	Q9Y376				39.8437414852777	89.74	9.68	280.5592712288297					Single Protein		Q9Y376	3	3	1	1	3	3	4	5	100.0	Confident
24	P04406				36.03039786921083	80.3	34.03	1041.7789845006407	Oxidation of M(M328, M331)	Oxidation of M(2)			Single Protein		P04406	9	14	14	9	14	9	22	29	100.0	Confident
25	P35527				62.02681468242336	63.72	12.2	185.61834660617524					Single Protein		P35527	4	6	6	4	6	4	7	8	100.0	Confident
26	P23526				47.68520377095517	70.6	2.08	111.11018593100329					Single Protein		P23526	1	1	1	1	1	1	1	1	100.0	Doubtful
27	P62491				24.378412825723224	86.57	24.07	449.75620014972475					Related Proteins	Q15907	P62491, Q15907	5	5	5	5	5	5	7	7	100.0	Confident
28	P11586				101.49530567522311	76.9	8.02	136.0095316385439					Single Protein		P11586	7	9	9	7	9	7	11	13	100.0	Confident
29	Q02750				43.41128368163882	58.27	15.78	408.7961298807629					Single Protein		Q02750	6	11	11	6	11	6	12	17	100.0	Confident
30	Q9H299				10.43126423733995	64.52	26.88	1412.0252795398333					Single Protein		Q9H299	2	2	2	2	2	2	3	3	100.0	Confident
31	Q9BRA2				13.931796199138695	100.0	18.7	1515.3442024329918					Single Protein		Q9BRA2	2	2	2	2	2	2	10	11	100.0	Doubtful
32	Q13404				16.484326778844846	100.0	6.12	461.06947903341495					Single Protein		Q13404	1	1	1	1	1	1	2	2	100.0	Doubtful
33	Q9H910				20.050983201468064	85.79	28.95	549.9466878207772					Single Protein		Q9H910	4	7	7	4	7	4	5	9	100.0	Confident
34	P07195				36.61514296895986	84.73	12.57	502.94045292443536					Single Protein		P07195	4	7	6	3	7	4	10	12	100.0	Confident
35	P32119				21.87823782783635	82.83	9.6	413.2756915726342					Single Protein		P32119	2	5	5	2	5	2	3	6	100.0	Confident
36	Q96EP9				46.473017974721586	23.34	3.2	260.6815900688923					Single Protein		Q96EP9	1	1	1	1	1	1	1	3	100.0	Doubtful
37	P16949				17.291953666624845	100.0	78.52	1846.0488762434372					Single Protein		P16949	17	20	20	17	20	17	47	61	100.0	Confident
38	Q15126				21.98122370046395	81.77	6.77	215.85099814621657					Single Protein		Q15126	1	1	1	1	1	1	1	1	100.0	Doubtful
39	Q96EK6				20.735628700489105	65.22	7.07	457.9541447156217					Single Protein		Q96EK6	1	2	2	1	2	1	2	3	100.0	Doubtful
40	P62820				22.66337934697535	100.0	13.17	220.41370217207154					Related Proteins	Q92928, Q9H0U4	P62820, Q92928, Q9H0U4	2	2	1	1	2	2	2	2	100.0	Confident
41	P63244				35.05455795771549	73.82	8.83	213.8082442205426					Single Protein		P63244	1	2	2	1	2	1	2	3	100.0	Doubtful
42	P09651				38.723049790736084	73.92	16.4	286.64327833411954	Oxidation of M(M46)	Oxidation of M(1)			Related Proteins	Q32P51	P09651, Q32P51	9	9	0	0	4	4	22	27	100.0	Confident
43	O00429				81.82611245891833	92.66	9.24	187.2468305476736					Single Protein		O00429	5	9	9	5	9	5	9	14	100.0	Confident
44	Q8TF09				10.847721752195149	100.0	9.38	706.0126397699166					Related Proteins	Q9NP97	Q8TF09, Q9NP97	1	1	1	1	1	1	2	2	100.0	Doubtful
45	Q5MNZ6				38.09707347124657	54.07	4.07	182.19681026320433					Single Protein		Q5MNZ6	1	1	1	1	1	1	1	1	100.0	Doubtful
46	O43684				37.13117960287662	67.38	7.01	362.9301923315235					Single Protein		O43684	3	3	3	3	3	3	5	5	100.0	Confident
47	P51397				11.157659454163326	100.0	7.84	1328.9649689786668					Single Protein		P51397	1	1	1	1	1	1	4	4	100.0	Doubtful
48	P02538				60.00827426891604	72.16	5.5	219.6044431291032					Related Proteins	P04259, P48668	P02538, P04259, P48668	5	5	0	0	0	0	12	13	100.0	Confident
49	Q7L9L4				25.074638247513708	64.35	10.65	408.29646637296383					Related Proteins	Q9H8S9	Q7L9L4, Q9H8S9	2	3	3	2	3	2	3	5	100.0	Confident
50	O14732				31.301057124061536	77.08	10.76	248.51644919901065					Single Protein		O14732	3	3	3	3	3	3	3	4	100.0	Confident
51	P04792				22.76849291782661	66.83	9.27	304.38868301457484					Single Protein		P04792	2	3	3	2	3	2	2	4	100.0	Confident
52	P10599				11.72974160591313	100.0	90.48	7860.722318098575	Oxidation of M(M37)	Oxidation of M(1)			Single Protein		P10599	10	11	11	10	11	10	78	90	100.0	Confident
53	P21291				20.55376279588531	100.0	8.81	1141.3261326850468					Single Protein		P21291	2	3	3	2	3	2	7	12	100.0	Confident
54	Q7Z7F0				64.80489030602226	60.1	2.12	183.67808514339296					Single Protein		Q7Z7F0	1	1	1	1	1	1	2	2	100.0	Doubtful
55	Q06830				22.096278847426646	100.0	17.59	482.50110054627476					Single Protein		Q06830	4	5	5	4	5	4	6	8	100.0	Confident
56	O00231				47.434040610909165	93.36	8.06	227.53013983106322					Single Protein		O00231	3	3	3	3	3	3	4	4	100.0	Confident
57	P15531				17.137671231368294	100.0	15.13	1114.7567996367104					Single Protein		P15531	2	4	2	1	2	1	6	10	100.0	Confident
58	P59998				19.65430375696185	100.0	5.36	201.71789707711903					Single Protein		P59998	1	1	1	1	1	1	1	1	100.0	Doubtful
59	P08397				39.3056119021018	86.43	8.86	325.8519875861154					Single Protein		P08397	2	2	2	2	2	2	4	4	100.0	Confident
60	Q86YZ3				282.2276283698903	47.26	1.68	14.173403056861565					Single Protein		Q86YZ3	1	1	1	1	1	1	2	2	100.0	Doubtful
61	P04818				35.6931596495963	74.12	17.25	635.9503167393143					Single Protein		P04818	4	4	4	4	4	4	9	10	100.0	Confident
62	Q8WZ82				24.402527698381725	71.37	15.42	441.2578998561979					Single Protein		Q8WZ82	2	2	2	2	2	2	3	3	100.0	Confident
63	P60903				11.19551123367067	73.2	27.84	873.4176986844329					Single Protein		P60903	2	2	2	2	2	2	4	4	100.0	Confident
64	P22626				37.406726759746874	69.97	57.22	961.9825735361844	Oxidation of M(M53, M193, M327)	Oxidation of M(3)			Single Protein		P22626	23	26	21	18	21	18	62	84	100.0	Confident
65	P11940				70.62586938277288	78.3	10.85	218.98727099954868					Single Protein		P11940	6	7	5	5	7	6	9	10	100.0	Confident
66	P35908				65.39321717101762	79.81	7.04	154.18673371292988					Single Protein		P35908	5	8	4	1	4	1	10	13	100.0	Confident
67	P33316				26.546602511651518	100.0	29.37	658.9451304519224					Single Protein		P33316	6	6	6	6	6	6	13	16	100.0	Confident
68	P47929				15.065799896218179	100.0	8.82	249.1809316835					Single Protein		P47929	1	2	2	1	2	1	1	2	100.0	Doubtful
69	P20618				26.472369794560382	88.8	5.81	140.61662534836515	Oxidation of M(M186)	Oxidation of M(1)			Single Protein		P20618	1	1	1	1	1	1	1	1	100.0	Doubtful
70	P56545				48.914114397826346	62.25	18.88	349.3998483917614					Single Protein		P56545	6	8	6	5	8	6	9	14	100.0	Confident
71	P61081				20.886648718015564	83.06	28.96	743.1711997578071					Single Protein		P61081	4	5	5	4	5	4	8	9	100.0	Confident
72	P61086				22.392565963782957	86.0	5.0	338.88606708956					Single Protein		P61086	1	2	2	1	2	1	3	3	100.0	Doubtful
73	P61088				17.12697445361943	81.58	35.53	903.1299532294876					Single Protein		P61088	5	6	1	1	6	5	12	16	100.0	Confident
74	P07737				15.04455603947334	82.14	77.86	1885.1279733859003					Single Protein		P07737	11	15	15	11	15	11	27	40	100.0	Confident
75	O60504				75.29490642730411	81.67	4.77	125.51335818131852					Single Protein		O60504	3	5	5	3	5	3	4	7	100.0	Confident
76	Q96HC4				63.90449003178593	67.45	2.35	84.30001668894528					Single Protein		Q96HC4	1	1	1	1	1	1	1	1	100.0	Doubtful
77	Q04760				20.764247798355434	70.65	10.87	368.35442074952175					Single Protein		Q04760	1	1	1	1	1	1	2	2	100.0	Doubtful
78	Q14103				38.4103025899212	64.79	5.35	515.6961890493304					Single Protein		Q14103	2	5	5	2	5	2	5	11	100.0	Confident
79	P31483				42.93558562953341	67.1	3.37	130.84404134732046					Related Proteins	Q01085	P31483, Q01085	1	1	1	1	1	1	1	1	100.0	Doubtful
80	P33981				97.0110937129566	83.78	1.75	45.48806269658523					Single Protein		P33981	1	1	1	1	1	1	1	4	100.0	Doubtful
81	P30043				22.105426425215388	85.44	16.02	548.3593318601295					Single Protein		P30043	3	3	3	3	3	3	6	6	100.0	Confident
82	O00522				84.29444262479272	82.47	1.09	152.65138157187388					Single Protein		O00522	1	3	3	1	3	1	3	8	100.0	Doubtful
83	Q96H79				32.94047445448965	89.0	2.67	126.92362063279401					Single Protein		Q96H79	1	1	1	1	1	1	1	1	100.0	Doubtful
84	Q16658				54.49605214840773	94.12	5.68	229.13189120321837					Single Protein		Q16658	3	4	4	3	4	3	5	7	100.0	Confident
85	Q15366				38.55559150707409	70.96	20.55	416.7435720864091					Single Protein		Q15366	6	12	9	4	9	4	12	28	100.0	Confident
86	P07355				38.579814745475446	100.0	51.33	899.9715442629871					Single Protein		P07355	18	24	24	18	24	18	37	51	100.0	Confident
87	P19367				102.42013858034478	75.57	3.05	70.69945766819751					Single Protein		P19367	2	3	3	2	3	2	2	3	100.0	Confident
88	P61024				9.653935912326533	67.09	12.66	857.9394103533165					Single Protein		P61024	1	1	1	1	1	1	2	2	100.0	Doubtful
89	P50395				50.63087759630439	93.93	28.54	337.5525871591688	Oxidation of M(M132)	Oxidation of M(1)			Single Protein		P50395	11	13	11	9	13	11	19	22	100.0	Confident
90	Q12974				19.11475238042034	82.63	7.78	405.85157735276647					Single Protein		Q12974	1	1	1	1	1	1	2	2	100.0	Doubtful
91	Q9BZL1				8.541426609240776	100.0	16.44	928.4549783275617					Single Protein		Q9BZL1	1	2	2	1	2	1	2	3	100.0	Doubtful
92	Q16527				20.93987959113972	100.0	5.18	175.58863579769948					Single Protein		Q16527	1	1	1	1	1	1	1	1	100.0	Doubtful
93	P14618				57.900023352394655	94.16	5.46	135.554426835824					Single Protein		P14618	2	3	3	2	3	2	3	6	100.0	Confident
94	P57721				39.4402912515882	69.81	8.36	331.4715714132118					Single Protein		P57721	3	4	1	1	1	1	6	9	100.0	Confident
95	P08779				51.236202521320465	86.68	4.02	192.86198940056263					Single Protein		P08779	2	2	1	1	1	1	3	3	100.0	Confident
96	Q06124				68.3933225155252	90.79	11.39	162.72586136070439					Single Protein		Q06124	6	10	10	6	10	6	9	16	100.0	Confident
97	Q9UGI8				47.96389217156821	92.64	5.94	173.78772671259486					Single Protein		Q9UGI8	2	2	2	2	2	2	3	3	100.0	Confident
98	Q9Y263				87.10135391125519	86.04	3.52	168.14374100068383					Single Protein		Q9Y263	3	5	5	3	5	3	6	10	100.0	Confident
99	O75083				66.15186943421038	79.54	44.06	1119.1001920714752					Single Protein		O75083	21	25	25	21	25	21	54	65	100.0	Confident
100	P06733				47.13931928557345	93.09	4.38	182.19681026320433					Single Protein		P06733	2	2	1	1	2	2	3	3	100.0	Confident
101	P06737				97.08702716786348	83.71	12.75	189.62195607562774					Single Protein		P06737	10	14	12	9	12	9	16	24	100.0	Confident
102	P62857				7.836201392306286	100.0	15.94	491.139227666029					Single Protein		P62857	1	1	1	1	1	1	1	4	100.0	Doubtful
103	P11216				96.63452444744692	90.63	3.56	59.14242008543804					Single Protein		P11216	2	3	1	1	1	1	2	3	100.0	Confident
104	P00568				21.621307247002466	100.0	12.37	262.02530960532994					Single Protein		P00568	2	2	2	2	2	2	2	2	100.0	Confident
105	P62826				24.40761778465903	76.85	56.48	4809.47030546228					Single Protein		P62826	15	17	17	15	17	15	51	66	100.0	Confident
106	P37802				22.377173006691002	100.0	9.05	170.29450607515577					Single Protein		P37802	1	2	2	1	2	1	1	3	100.0	Doubtful
107	P00558				44.58612676613191	100.0	4.08	81.26764198790408					Single Protein		P00558	1	3	3	1	3	1	1	3	100.0	Doubtful
108	P48507				30.70778320194564	57.3	5.84	215.85099814621657					Single Protein		P48507	1	1	1	1	1	1	1	1	100.0	Doubtful
109	Q9NRR5				63.81235663451336	43.93	2.66	231.32154750140614					Related Proteins	Q9UHD9, Q9UMX0	Q9NRR5, Q9UHD9, Q9UMX0	1	1	1	1	1	1	2	2	100.0	Doubtful
110	P04075				39.39530591128901	76.65	18.68	294.8184649588663					Single Protein		P04075	4	7	7	4	7	4	7	12	100.0	Confident
111	P16083				25.902008199060507	100.0	9.09	220.05588772049353					Single Protein		P16083	2	2	2	2	2	2	2	2	100.0	Confident
112	P30520				50.06577425561759	77.41	11.4	366.4065597899398					Single Protein		P30520	5	8	8	5	8	5	8	13	100.0	Confident
113	P30566				54.8539697428786	83.26	8.06	105.026673684781					Single Protein		P30566	2	2	2	2	2	2	2	2	100.0	Confident
114	P04264				65.99900087210398	65.22	16.3	428.7963785910529					Single Protein		P04264	11	15	12	8	12	8	26	34	100.0	Confident
115	Q9NRN7				35.75306908617302	76.38	4.85	143.59579113964406					Single Protein		Q9NRN7	1	2	2	1	2	1	1	2	100.0	Doubtful
116	P62937				18.000885276520645	83.64	10.91	205.38549520579394					Single Protein		P62937	1	1	1	1	1	1	1	1	100.0	Doubtful
117	P49915				76.66695698448262	84.7	36.36	459.3446013781887					Single Protein		P49915	20	23	23	20	23	20	50	63	100.0	Confident
118	O75223				20.99433317813003	86.17	11.17	540.775638972702					Single Protein		O75223	2	3	3	2	3	2	5	6	100.0	Doubtful
119	O95678				59.52403085076316	71.69	2.18	85.79394103533166					Related Proteins	P02538, P12035, P19013, Q01546, Q5XKE5, Q8N1N4	O95678, P02538, P12035, P19013, Q01546, Q5XKE5, Q8N1N4	1	1	0	0	0	0	1	1	100.0	Doubtful
120	Q15819				16.352232878460004	100.0	6.21	467.42905805456553					Single Protein		Q15819	1	2	2	1	2	1	2	4	100.0	Doubtful
121	P78406				40.94185707677548	64.13	2.45	255.76306950155472					Single Protein		P78406	1	1	1	1	1	1	2	2	100.0	Doubtful
122	O60664				47.04594585979835	80.65	25.12	330.43312664061403					Single Protein		O60664	9	11	11	9	11	9	15	23	100.0	Confident
123	P99999				11.741126439099999	100.0	49.52	1629.8806083831223					Single Protein		P99999	6	6	6	6	6	6	13	13	100.0	Confident
124	Q9NR48				332.5819506984238	78.11	0.37	54.614998725150684	Oxidation of M(M979)	Oxidation of M(1)			Single Protein		Q9NR48	1	1	1	1	1	1	4	4	93.83561643835617	Doubtful
125	P51991				39.57058334114924	76.19	14.02	375.2751195637186	Oxidation of M(M67)	Oxidation of M(1)			Single Protein		P51991	6	6	3	3	3	3	10	11	100.0	Confident
