	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	60.61	14.29	406.27727543514254					Related Proteins	Q5VTE0	P68104, Q5VTE0	5	8	8	5	8	5	12	14	100.0	Confident
2	P09382				14.706199322903753	80.74	40.74	1522.2841288071552					Single Protein		P09382	5	5	5	5	5	5	12	12	100.0	Confident
3	Q5JTJ3				14.106853688611848	77.6	11.2	517.8163335784969					Single Protein		Q5JTJ3	1	1	1	1	1	1	2	2	100.0	Doubtful
4	O95994				19.96661539702317	100.0	6.29	184.9344048494632					Single Protein		O95994	1	1	1	1	1	1	1	1	100.0	Doubtful
5	Q96AE4				67.5184714874304	57.76	2.02	68.13372810243379					Single Protein		Q96AE4	1	3	3	1	3	1	2	3	100.0	Doubtful
6	O43175				56.61440433066414	60.41	22.7	594.6555113509968	Oxidation of M(M477)	Oxidation of M(1)			Single Protein		O43175	10	12	11	9	11	9	23	29	100.0	Confident
7	Q5JS54				13.765969093009959	79.67	20.33	263.11805568013057					Single Protein		Q5JS54	1	1	1	1	1	1	1	1	100.0	Doubtful
8	O43172				58.412397328058475	77.78	2.68	67.42400176803345					Single Protein		O43172	1	1	1	1	1	1	1	1	100.0	Doubtful
9	P17931				26.136053217437922	48.8	16.0	2387.472849491021					Single Protein		P17931	3	5	5	3	5	3	13	22	100.0	Confident
10	O60361				15.518981266030476	100.0	7.3	472.4601583745409					Related Proteins	P22392	O60361, P22392	1	2	2	1	2	1	2	3	100.0	Doubtful
11	P35749				227.19890705129146	93.56	0.81	0.0					Single Protein		P35749	1	2	2	1	2	1	0	31	90.0	Doubtful
12	P31943				49.19840896001632	71.71	24.05	529.2964416870223					Single Protein		P31943	8	9	8	8	9	8	18	28	100.0	Confident
13	P31948				62.5994056613524	94.11	27.26	424.18159612208797					Single Protein		P31948	18	25	25	18	25	18	38	51	100.0	Confident
14	P31939				64.57534202226608	91.39	28.72	462.61803014907116					Single Protein		P31939	10	15	15	10	15	10	25	31	100.0	Confident
15	O75376				270.04446617543147	69.92	0.61	0.0			Oxidation of M (M407-{M406 M407})	Oxidation of M (1)	Single Protein		O75376	1	1	1	1	1	1	0	50	90.0	Doubtful
16	O75340				21.85478539004197	55.5	31.94	1263.133197679614					Single Protein		O75340	4	5	5	4	5	4	17	19	100.0	Confident
17	Q99832				59.328924128279205	89.13	6.45	95.00055043636806					Single Protein		Q99832	2	2	2	2	2	2	2	2	100.0	Confident
18	Q99829				59.02154369385524	50.09	3.72	120.3104864262307					Single Protein		Q99829	1	1	1	1	1	1	1	1	100.0	Doubtful
19	Q9HD15				25.6569303617842	83.05	3.81	165.12000432987782					Single Protein		Q9HD15	1	2	2	1	2	1	1	2	100.0	Doubtful
20	Q13542				12.93132637775106	50.0	11.67	363.6350657152366					Single Protein		Q13542	1	1	1	1	1	1	1	1	100.0	Doubtful
21	Q8WVJ2				17.664743539829573	63.69	12.74	898.986690240446					Single Protein		Q8WVJ2	2	2	2	2	2	2	5	5	100.0	Doubtful
22	TRY1_BOVIN				25.408419297583514	71.6	49.79	6567.483052216565					Single Protein		TRY1_BOVIN	11	12	12	11	12	11	63	86	100.0	Confident
23	Q9Y376				39.8437414852777	89.74	9.38	264.4078500707194					Single Protein		Q9Y376	3	3	2	2	3	3	5	5	100.0	Confident
24	P04406				36.03039786921083	73.13	30.45	536.321881628295	Oxidation of M(M231)	Oxidation of M(1)			Single Protein		P04406	9	12	12	9	12	9	20	26	100.0	Confident
25	NM_001033551_5	Homo sapiens target of myb1-like 2 (chicken) (TOM1L2), transcript variant 1, mRNA|TOM1L2|frame-2			14.460222447876935	56.2	11.68	314.20894027821413	Oxidation of M(M15)	Oxidation of M(1)			Related Proteins	NM_001082968_6	NM_001033551_5, NM_001082968_6	1	1	1	1	1	1	1	4	100.0	Doubtful
26	P23526				47.68520377095517	70.6	2.08	212.21980884364626					Single Protein		P23526	1	1	1	1	1	1	2	2	90.0	Doubtful
27	P23528				18.490657770592385	100.0	6.63	194.96096896780756					Single Protein		P23528	1	1	1	1	1	1	1	1	100.0	Doubtful
28	P62491				24.378412825723224	75.46	9.26	299.6622300801487					Related Proteins	Q15907	P62491, Q15907	2	2	2	2	2	2	3	3	100.0	Confident
29	Q9BRF8				35.525878167443445	72.61	6.37	257.67134433643355					Single Protein		Q9BRF8	2	2	2	2	2	2	3	3	100.0	Doubtful
30	P11586				101.49530567522311	74.33	6.52	205.1503908905753					Single Protein		P11586	6	7	7	6	7	6	12	13	100.0	Confident
31	Q02750				43.41128368163882	58.27	13.49	320.61763078505413					Single Protein		Q02750	5	7	5	4	7	5	7	11	100.0	Confident
32	Q9H299				10.43126423733995	64.52	26.88	1528.2773734087584					Single Protein		Q9H299	3	3	3	3	3	3	4	4	100.0	Confident
33	P55854				11.629729034955046	57.28	11.65	548.5342516721365					Related Proteins	P61956, Q6EEV6	P55854, P61956, Q6EEV6	1	1	1	1	1	1	1	1	100.0	Doubtful
34	O95833				26.63171160203791	89.41	6.78	137.13356291803413					Single Protein		O95833	1	1	1	1	1	1	1	1	100.0	Doubtful
35	Q9BRA2				13.931796199138695	100.0	18.7	2894.2986124814356					Single Protein		Q9BRA2	2	3	3	2	3	2	12	14	100.0	Confident
36	Q13404				16.484326778844846	100.0	21.09	385.28001010304826					Single Protein		Q13404	3	3	2	2	2	2	3	3	100.0	Confident
37	O95861				33.371196577584875	90.58	11.69	157.61454958761067					Single Protein		O95861	2	2	2	2	2	2	2	2	100.0	Confident
38	Q5SQS8				39.24304690761754	91.94	4.48	96.60752492136136					Single Protein		Q5SQS8	1	2	2	1	2	1	1	3	100.0	Doubtful
39	Q9H910				20.050983201468064	85.79	28.95	496.8084340802465					Single Protein		Q9H910	4	6	6	4	6	4	6	10	100.0	Confident
40	P07195				36.61514296895986	84.73	8.98	209.65767334229483					Single Protein		P07195	3	4	4	3	4	3	3	4	100.0	Confident
41	P32119				21.87823782783635	58.08	13.13	493.34635440024476					Single Protein		P32119	2	5	5	2	5	2	3	7	100.0	Confident
42	P16949				17.291953666624845	100.0	65.77	2426.6968815189066					Single Protein		P16949	15	19	19	15	19	15	50	61	100.0	Confident
43	Q15126				21.98122370046395	81.77	10.94	309.20561320372025					Single Protein		Q15126	2	2	2	2	2	2	2	2	100.0	Confident
44	Q03154				45.85598657738013	77.45	1.96	95.18682602545898					Single Protein		Q03154	1	1	1	1	1	1	1	1	100.0	Doubtful
45	Q96EK6				20.735628700489105	65.22	7.07	546.6810954164874					Single Protein		Q96EK6	2	2	2	2	2	2	4	4	100.0	Confident
46	P62820				22.66337934697535	100.0	7.8	157.8708334080783					Related Proteins	Q92928, Q9H0U4	P62820, Q92928, Q9H0U4	1	1	1	1	1	1	1	1	100.0	Doubtful
47	Q96EP5				43.35605580613451	48.16	3.93	145.12789618231415					Single Protein		Q96EP5	1	1	1	1	1	1	1	1	100.0	Doubtful
48	P63244				35.05455795771549	66.25	8.83	408.3725028221584					Single Protein		P63244	1	1	1	1	1	1	4	4	100.0	Doubtful
49	O00429				81.82611245891833	92.66	9.92	241.11409327916311					Single Protein		O00429	6	9	9	6	9	6	12	15	100.0	Confident
50	Q8TF09				10.847721752195149	100.0	9.38	674.2400176803344					Related Proteins	Q9NP97	Q8TF09, Q9NP97	1	1	1	1	1	1	2	2	100.0	Doubtful
51	O43670				50.71714359038984	27.41	2.72	247.0497774706569					Single Protein		O43670	1	1	1	1	1	1	1	1	100.0	Doubtful
52	O43684				37.13117960287662	67.38	7.32	281.61028850905535					Single Protein		O43684	3	3	3	3	3	3	4	5	100.0	Confident
53	Q03001				860.1273221698586	81.45	0.24	4.659303318263181	Oxidation of M(M6787)	Oxidation of M(1)			Single Protein		Q03001	1	8	6	1	8	1	1	13	100.0	Doubtful
54	P51397				11.157659454163326	100.0	7.84	1269.1576803394532					Single Protein		P51397	1	1	1	1	1	1	4	6	100.0	Doubtful
55	Q7L9L4				25.074638247513708	64.35	17.13	552.3894120754549					Related Proteins	Q9H8S9	Q7L9L4, Q9H8S9	3	5	5	3	5	3	4	7	100.0	Confident
56	P0CG47				25.745838190769668	100.0	11.79	70.6627092765416					Related Proteins	P0CG48, P62979, P62987, RS27A_HUMAN	P0CG47, P0CG48, P62979, P62987, RS27A_HUMAN	1	1	0	0	1	1	2	2	100.0	Doubtful
57	PRDX1_HUMAN				22.096278847426646	75.38	13.57	569.2076531170663					Related Proteins	Q06830	PRDX1_HUMAN, Q06830	3	3	3	3	3	3	6	6	100.0	Confident
58	P21291				20.55376279588531	100.0	8.81	1089.963137389971					Single Protein		P21291	2	3	3	2	3	2	7	10	100.0	Confident
59	ALDOA_RABIT				38.8330631618425	76.39	12.5	209.76356105610407					Related Proteins	P04075	ALDOA_RABIT, P04075	3	4	4	3	4	3	4	7	100.0	Doubtful
60	Q7Z7F0				64.80489030602226	56.03	1.63	87.70601856004352					Single Protein		Q7Z7F0	1	3	3	1	3	1	1	3	100.0	Doubtful
61	O00231				47.434040610909165	93.36	5.21	115.03621154735565					Single Protein		O00231	2	2	2	2	2	2	2	2	100.0	Confident
62	P15531				17.137671231368294	83.55	38.82	1135.5621350405634					Single Protein		P15531	4	7	3	2	3	2	8	11	100.0	Confident
63	P08397				39.3056119021018	79.78	3.32	207.45846697856445					Single Protein		P08397	1	1	1	1	1	1	2	2	100.0	Doubtful
64	P04818				35.6931596495963	74.12	17.89	1091.1365171620682					Single Protein		P04818	4	5	5	4	5	4	12	13	100.0	Confident
65	Q8WZ82				24.402527698381725	71.37	5.73	168.5600044200836					Single Protein		Q8WZ82	1	1	1	1	1	1	1	1	100.0	Doubtful
66	P09651				38.723049790736084	73.92	23.92	652.1079058850363	Oxidation of M(M46)	Oxidation of M(1)			Single Protein		P09651	10	10	5	5	5	5	34	41	100.0	Confident
67	P60903				11.19551123367067	73.2	17.53	667.2890896630115					Single Protein		P60903	1	1	1	1	1	1	2	2	100.0	Doubtful
68	P22626				37.406726759746874	62.89	56.94	1360.4060554804717	Oxidation of M(M53, M193, M327)	Oxidation of M(3)			Single Protein		P22626	23	26	21	18	21	18	75	99	100.0	Confident
69	P11940				70.62586938277288	70.6	4.56	174.62331393159744					Single Protein		P11940	2	2	2	2	2	2	4	4	100.0	Confident
70	P33316				26.546602511651518	100.0	11.9	577.9200151545724					Single Protein		P33316	3	4	4	3	4	3	7	10	100.0	Confident
71	P21333				280.56387321173065	67.62	0.42	30.30292214293638					Single Protein		P21333	1	1	1	1	1	1	2	2	100.0	Doubtful
72	CYC_HUMAN				11.610085954187007	100.0	32.69	1483.3280388967362					Related Proteins	P99999	CYC_HUMAN, P99999	4	4	3	3	4	4	9	11	100.0	Confident
73	P61106				23.88192764629367	86.05	6.98	150.52800394723747					Single Protein		P61106	1	1	1	1	1	1	1	1	100.0	Doubtful
74	NM_020832_2	Homo sapiens zinc finger protein 687 (ZNF687), mRNA|ZNF687|frame-1			6.3233916954007245	100.0	44.83	557.991738769932					Single Protein		NM_020832_2	1	1	1	1	1	1	1	1	100.0	Doubtful
75	Q9NPD8				22.506615622967384	80.71	11.68	610.632468842567					Single Protein		Q9NPD8	2	2	2	2	2	2	4	4	100.0	Confident
76	K1C9_HUMAN				62.09190997979053	59.87	2.57	75.97070621750248					Related Proteins	P35527	K1C9_HUMAN, P35527	1	1	1	1	1	1	1	1	100.0	Doubtful
77	P56545				48.914114397826346	62.25	6.07	196.1425505979155					Single Protein		P56545	3	4	3	2	3	2	4	7	100.0	Confident
78	P61081				20.886648718015564	83.06	5.46	425.83580064021123					Single Protein		P61081	1	3	3	1	3	1	3	5	100.0	Doubtful
79	P61086				22.392565963782957	86.0	11.0	323.63520848656054					Single Protein		P61086	2	2	2	2	2	2	3	3	100.0	Doubtful
80	P07737				15.04455603947334	82.14	70.0	1704.4220568156109					Single Protein		P07737	11	13	13	11	13	11	31	35	100.0	Confident
81	O60504				75.29490642730411	74.52	1.34	102.74133602747953					Single Protein		O60504	1	4	4	1	4	1	2	5	100.0	Doubtful
82	Q04760				20.764247798355434	70.65	20.11	527.6661007933052					Single Protein		Q04760	2	2	2	2	2	2	4	4	100.0	Confident
83	Q14103				38.4103025899212	64.79	11.27	642.5800516327363					Single Protein		Q14103	5	7	7	5	7	5	11	12	100.0	Confident
84	P30043				22.105426425215388	61.65	16.02	445.1293320608034					Single Protein		P30043	3	5	5	3	5	3	5	7	100.0	Confident
85	P45983				48.26435989022519	67.68	4.22	126.54358103091322					Single Protein		P45983	2	3	1	1	3	2	2	3	100.0	Confident
86	NM_000441_1	Homo sapiens solute carrier family 26, member 4 (SLC26A4), mRNA|SLC26A4|frame-1			5.592099484900291	48.94	31.91	688.5855499714054					Single Protein		NM_000441_1	1	1	1	1	1	1	1	36	90.0	Doubtful
87	Q16658				54.49605214840773	89.25	2.03	131.2921738282193					Single Protein		Q16658	1	1	1	1	1	1	2	2	100.0	Doubtful
88	Q15366				38.55559150707409	70.96	33.7	627.2475315995839					Single Protein		Q15366	9	12	8	7	12	9	19	29	100.0	Confident
89	P07355				38.579814745475446	92.92	26.55	421.0803650241279					Single Protein		P07355	10	13	13	10	13	10	18	24	100.0	Confident
90	P19367				102.42013858034478	75.57	3.38	67.51777645755784					Single Protein		P19367	2	3	3	2	3	2	2	3	100.0	Confident
91	P61024				9.653935912326533	67.09	12.66	819.329641738128					Single Protein		P61024	1	1	1	1	1	1	2	2	100.0	Doubtful
92	P50395				50.63087759630439	88.54	30.56	410.1536334681673	Oxidation of M(M66)	Oxidation of M(1)			Single Protein		P50395	13	15	13	11	15	13	23	34	100.0	Confident
93	P25398				14.505481558735587	100.0	7.58	490.3563764947887					Single Protein		P25398	1	1	1	1	1	1	2	2	100.0	Doubtful
94	Q12974				19.11475238042034	82.63	7.78	387.58707603180903					Single Protein		Q12974	1	1	1	1	1	1	2	2	100.0	Doubtful
95	Q9BZL1				8.541426609240776	100.0	16.44	886.6718040727686					Single Protein		Q9BZL1	1	1	1	1	1	1	2	2	100.0	Doubtful
96	Q15181				32.63915540461552	100.0	7.61	111.98450120642234					Single Protein		Q15181	1	1	1	1	1	1	1	1	100.0	Doubtful
97	Q16527				20.93987959113972	100.0	5.18	167.68663652153396					Single Protein		Q16527	1	1	1	1	1	1	1	1	100.0	Doubtful
98	Q9BZX2				29.28107420868995	58.62	6.9	141.3254185530832					Single Protein		Q9BZX2	1	1	1	1	1	1	1	2	100.0	Doubtful
99	Q06124				68.3933225155252	86.77	11.39	342.4280960815367					Single Protein		Q06124	6	8	8	6	8	6	13	14	100.0	Confident
100	Q9BPZ3				14.974878265016445	45.67	14.96	735.5345647421831					Single Protein		Q9BPZ3	1	1	1	1	1	1	2	2	100.0	Doubtful
101	Q9UGI8				47.96389217156821	81.24	8.08	276.6112893047527					Single Protein		Q9UGI8	3	4	4	3	4	3	6	7	100.0	Confident
102	Q9Y263				87.10135391125519	82.89	3.77	138.67994950935164					Single Protein		Q9Y263	3	4	4	3	4	3	5	9	100.0	Confident
103	O75083				66.15186943421038	71.29	39.27	805.3405140487075					Single Protein		O75083	19	27	27	19	27	19	65	80	100.0	Confident
104	P06733				47.13931928557345	93.09	2.3	149.1406490721477					Single Protein		P06733	1	1	1	1	1	1	2	2	100.0	Doubtful
105	P06737				97.08702716786348	80.76	5.31	154.5302184348183					Single Protein		P06737	6	8	7	5	8	6	10	16	100.0	Confident
106	P62857				7.836201392306286	100.0	15.94	938.0730680769872					Single Protein		P62857	1	2	2	1	2	1	2	3	100.0	Doubtful
107	Q13363				47.50549501414615	60.45	10.45	219.1280057461087					Single Protein		Q13363	4	5	3	2	3	2	5	7	100.0	Confident
108	Q8N8N7				38.474331574358516	55.56	4.27	131.55902784006528					Single Protein		Q8N8N7	1	1	1	1	1	1	1	1	100.0	Doubtful
109	P62826				24.40761778465903	76.85	45.83	1521.1597507321558					Single Protein		P62826	10	13	13	10	13	10	34	40	100.0	Confident
110	P00558				44.58612676613191	94.0	4.08	155.22072349475326					Single Protein		P00558	1	2	2	1	2	1	2	3	100.0	Doubtful
111	P08107				70.00903707472403	70.2	5.15	74.52739400957067					Related Proteins	P34931	P08107, P34931	3	3	0	0	3	3	5	7	100.0	Confident
112	P30520				50.06577425561759	77.41	10.09	259.76385950290506					Single Protein		P30520	3	5	4	3	5	3	6	7	100.0	Confident
113	Q9NRX4				13.823694904874298	100.0	16.8	258.90816678924847	Oxidation of M(M95)	Oxidation of M(1)			Single Protein		Q9NRX4	1	2	2	1	2	1	1	2	100.0	Doubtful
114	P30566				54.8539697428786	78.31	2.69	133.73355722585146					Single Protein		P30566	1	2	2	1	2	1	2	3	100.0	Doubtful
115	Q6XQN6				57.542016194744704	52.42	2.6	167.25333771915274					Single Protein		Q6XQN6	1	1	1	1	1	1	2	2	100.0	Doubtful
116	P49915				76.66695698448262	84.7	37.95	486.4556924262972					Single Protein		P49915	20	24	24	20	24	20	42	54	100.0	Confident
117	O75223				20.99433317813003	86.17	11.7	688.5855499714054					Single Protein		O75223	2	3	3	2	3	2	6	6	100.0	Confident
118	Q15819				16.352232878460004	100.0	13.1	520.7922895186032					Single Protein		Q15819	2	2	1	1	1	1	3	3	100.0	Confident
119	O60664				47.04594585979835	74.88	25.35	352.6406974192032	Oxidation of M(M177)	Oxidation of M(1)			Single Protein		O60664	10	12	12	10	12	10	17	21	100.0	Confident
120	Q9NR48				332.5819506984238	75.61	0.37	13.039291236364246	Oxidation of M(M979)	Oxidation of M(1)			Single Protein		Q9NR48	1	1	1	1	1	1	1	1	100.0	Doubtful
121	P51991				39.57058334114924	76.19	11.64	277.9201755317467	Oxidation of M(M67)	Oxidation of M(1)			Single Protein		P51991	5	5	2	2	2	2	9	12	100.0	Confident
122	P43490				55.4865942341051	85.95	5.7	202.86867788611835					Single Protein		P43490	3	6	6	3	6	3	8	9	100.0	Confident
123	NM_175907_5	Homo sapiens zinc binding alcohol dehydrogenase domain containing 2 (ZADH2), mRNA|ZADH2|frame-3			5.319951063928133	100.0	26.67	719.1893521923569					Single Protein		NM_175907_5	1	1	1	1	1	1	1	4	100.0	Doubtful
124	P61088				17.12697445361943	81.58	19.08	993.6168681604928					Related Proteins	Q5JXB2	P61088, Q5JXB2	3	3	3	3	3	3	7	7	100.0	Confident
