	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	Q9UKV3				151.77079068994243	73.75	4.47	172.19650467360282					Single Protein		Q9UKV3	5	8	8	5	8	5	9	13	100.0	Confident
2	P68104				50.10910826932214	55.63	19.91	453.1386067666282	Oxidation of M(M276, M404, M410)	Oxidation of M(3)			Related Proteins	Q5VTE0	P68104, Q5VTE0	6	7	7	6	7	6	10	12	100.0	Confident
3	P25440				88.006311905524	56.3	12.48	404.4196956102106	Oxidation of M(M180, M438)	Oxidation of M(2)			Single Protein		P25440	8	12	9	7	10	8	18	20	100.0	Confident
4	P13489				49.94108720369384	72.23	2.39	115.47138485820923					Single Protein		P13489	1	1	1	1	1	1	1	1	100.0	Doubtful
5	P35659				42.6479204774305	100.0	3.47	131.79134058483615	Oxidation of M(M343)	Oxidation of M(1)			Single Protein		P35659	1	3	3	1	3	1	1	3	100.0	Doubtful
6	P22314				117.77432920492443	58.6	3.5	126.02997050462476	Oxidation of M(M1015)	Oxidation of M(1)			Single Protein		P22314	3	4	4	3	4	3	4	6	100.0	Confident
7	P68363				50.119604615111854	68.51	23.95	559.5264312487993	Oxidation of M(M36, M302)	Oxidation of M(2)			Related Proteins	P68366	P68363, P68366	9	12	0	0	0	0	17	24	100.0	Confident
8	P43243				94.56479778685481	75.56	5.08	185.79606285456225	Oxidation of M(M539)	Oxidation of M(1)			Single Protein		P43243	3	3	3	3	3	3	5	5	100.0	Confident
9	P61978				50.94440274865072	72.14	2.38	129.37631601914543					Single Protein		P61978	1	1	1	1	1	1	1	1	100.0	Doubtful
10	O15047				185.92013916233606	52.2	0.59	84.9901164562572	Oxidation of M(M797, M802)	Oxidation of M(2)			Single Protein		O15047	1	5	5	1	5	1	2	10	100.0	Doubtful
11	Q9BV38				47.37500670859233	46.76	2.08	181.69762029159398					Single Protein		Q9BV38	1	2	2	1	2	1	1	2	100.0	Doubtful
12	P04908				14.1269499339184	77.69	6.92	760.3346572202087					Related Proteins	P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1	P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1	1	1	1	1	1	1	2	2	100.0	Doubtful
13	Q7Z4V5				74.27222971678142	85.69	11.18	399.2875687863215					Single Protein		Q7Z4V5	6	7	7	6	7	6	10	12	100.0	Confident
14	Q07955				27.727814961380233	100.0	8.06	597.8437828949221					Single Protein		Q07955	2	2	2	2	2	2	4	4	100.0	Confident
