	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation	Fraction
281	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	757.2498267506554					Related Proteins	P05204	NM_020810_8, P05204	3	3	3	3	3	3	8	9	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1F03_0
76	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	9.58	370.0620070900046					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P2A07_0
192	NM_001077490_1	Homo sapiens GNAS complex locus (GNAS), transcript variant 2, mRNA|GNAS|frame-1			110.95551982886884	57.38	7.62	94.18678269911602					Related Proteins	NM_016592_1, P63092, Q5JWF2	NM_001077490_1, NM_016592_1, P63092, Q5JWF2	6	6	0	0	0	0	13	13	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1D11_0
163	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	12.92	191.90724392580722					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	3	3	3	3	3	3	4	4	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H12_0
134	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	12.92	270.18346254945783					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	3	3	3	3	3	3	6	6	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H07_0
5	NM_003915_1	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA|CPNE1|frame-1			13.244771519934066	69.49	15.25	93.34209698956985					Related Proteins	Q9NTZ6	NM_003915_1, Q9NTZ6	2	2	0	0	2	2	2	2	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1B08_0
115	NM_032983_2	Homo sapiens caspase 2, apoptosis-related cysteine peptidase (CASP2), transcript variant 3, mRNA|CASP2|frame-2			33.150254970182125	100.0	13.18	68.95542300130387					Related Proteins	P42575	NM_032983_2, P42575	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1B08_0
285	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	108.41269654057946					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	4	4	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1G01_0
109	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	6.67	270.5229972606826					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	1	1	2	2	4	4	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H06_0
90	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	9.58	318.9671162768109					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P2A02_0
181	NM_001077490_1	Homo sapiens GNAS complex locus (GNAS), transcript variant 2, mRNA|GNAS|frame-1			110.95551982886884	50.34	1.83	16.44518166173461					Related Proteins	NM_016592_1, P63092, Q5JWF2	NM_001077490_1, NM_016592_1, P63092, Q5JWF2	2	3	0	0	0	0	2	4	79.94579945799458	Confident	WAN120118_OT1_HCW_hek293ne_P1D10_0
23	NM_178190_1	Homo sapiens ATPase inhibitory factor 1 (ATPIF1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA|ATPIF1|frame-2			11.50203278137025	100.0	19.0	444.10915059927237					Related Proteins	Q9UII2	NM_178190_1, Q9UII2	2	2	2	2	2	2	4	4	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1D01_0
312	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	854.9706248393974					Related Proteins	P05204	NM_020810_8, P05204	4	4	2	2	2	2	11	11	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1F02_0
90	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	12.92	409.5091735749978					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	3	4	3	2	4	3	5	6	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P2A06_0
201	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	6.67	128.7298035289196					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	3	3	2	3	2	3	5	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H02_0
83	NM_203488_1	Homo sapiens acylphosphatase 1, erythrocyte (common) type (ACYP1), transcript variant 2, mRNA|ACYP1|frame-3			8.317343347999016	100.0	31.51	399.6942894616212					Related Proteins	P07311	NM_203488_1, P07311	2	2	2	2	2	2	4	4	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1G05_0
165	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	1437.4867495632295					Related Proteins	P05204	NM_020810_8, P05204	3	4	2	2	2	2	12	15	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1F04_0
129	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	175.4300995397921					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1E09_0
157	NM_020810_8	Homo sapiens TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae) (TRMT5), mRNA|TRMT5|frame-1			7.878419505034465	100.0	20.55	1441.8912290941817					Related Proteins	P05204	NM_020810_8, P05204	3	4	3	2	4	3	8	10	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1E09_0
192	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	3.75	172.969776722849					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1G07_0
205	NM_001077490_1	Homo sapiens GNAS complex locus (GNAS), transcript variant 2, mRNA|GNAS|frame-1			110.95551982886884	57.38	5.4	55.95244060755868					Related Proteins	NM_016592_1, P63092, Q5JWF2	NM_001077490_1, NM_016592_1, P63092, Q5JWF2	4	4	0	0	0	0	7	8	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1D12_0
191	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	12.92	234.88658443895403					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	3	4	4	3	4	3	6	6	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H11_0
147	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	13.33	321.861235986799					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	4	4	4	4	4	4	8	8	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1H09_0
4	NM_003915_1	Homo sapiens copine I (CPNE1), transcript variant 3, mRNA|CPNE1|frame-1			13.244771519934066	69.49	15.25	289.6915858344834					Related Proteins	Q9NTZ6	NM_003915_1, Q9NTZ6	2	2	2	2	2	2	3	3	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1C11_0
127	NM_203488_1	Homo sapiens acylphosphatase 1, erythrocyte (common) type (ACYP1), transcript variant 2, mRNA|ACYP1|frame-3			8.317343347999016	100.0	31.51	686.2737934086848					Related Proteins	P07311	NM_203488_1, P07311	3	4	4	3	4	3	8	10	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P1E05_0
77	NM_005678_1	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 1, mRNA|SNURF|frame-1			24.598037046891474	77.92	9.58	230.47248589574292					Related Proteins	P14678, P63162	NM_005678_1, P14678, P63162	2	2	2	2	2	2	2	2	100.0	Confident	WAN120118_OT1_HCW_hek293ne_P2A05_0
