	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	O62514_REVERSED	Uncharacterized protein (O62514_REVERSED_CAEEL)-REVERSED			37.37287226714859	89.94	0.0	0.0				Single Protein		O62514_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	F26F12.7_1	ref_frame-2|F26F12.7alt_frame-3			7.494089787425944	100.0	0.0	0.0				Single Protein		F26F12.7_1	0	1	1	0	1	0	1	0.0	0	Doubtful
3	Q21148_REVERSED	BZIP transcription factor family (Q21148_REVERSED_CAEEL)-REVERSED			34.43294037296002	35.06	0.0	0.0				Single Protein		Q21148_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	Q17529_REVERSED	Bestrophin homolog 2 (BEST2_CAEEL)-REVERSED			49.952402117803985	82.42	0.0	0.0				Single Protein		Q17529_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
5	T23B12.4_1	ref_frame-2|T23B12.4alt_frame-1			5.556715143749061	100.0	0.0	0.0				Single Protein		T23B12.4_1	0	1	1	0	1	0	1	0.0	0	Doubtful
6	Q9TXU7_REVERSED	Eukaryotic Initiation Factor (Q9TXU7_REVERSED_CAEEL)-REVERSED			24.380674380175797	87.04	0.0	0.0				Single Protein		Q9TXU7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	Q9TYS0	Intracelllar PhosphoLipase A family (Q9TYS0_CAEEL)	ipla-4	I	63.00899528278563	88.15	0.0	0.0				Single Protein		Q9TYS0	0	1	1	0	1	0	2	0.0	0	Doubtful
8	A5Z2V3_REVERSED	Uncharacterized protein (A5Z2V3_REVERSED_CAEEL)-REVERSED			104.05574233334261	64.11	0.0	0.0				Related Proteins	O45247_REVERSED	A5Z2V3_REVERSED, O45247_REVERSED	0	1	0	0	0	0	1	0.0	1	Doubtful
9	F23B12.7.2_3	ref_frame-3|F23B12.7alt_frame-1			6.968747116888573	100.0	0.0	0.0				Single Protein		F23B12.7.2_3	0	1	1	0	1	0	1	0.0	0	Doubtful
10	C54D1.5.1_3_REVERSED	ref_frame-2|C54D1.5alt_frame-3-REVERSED			21.812615011792484	84.69	0.0	0.0				Single Protein		C54D1.5.1_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
11	Q09652	Glutathione S-transferase kappa 1 (GSTK1_CAEEL)	gstk-1	II	26.464764585787837	87.17	0.0	0.0				Single Protein		Q09652	0	1	1	0	1	0	1	0.0	0	Doubtful
12	Q9TYS3	Ferritin (Q9TYS3_CAEEL)	ftn-2	I	19.58070075291597	100.0	5.88	74.36532012545342				Single Protein		Q9TYS3	1	1	1	1	1	1	1	100.0	0	Doubtful
13	Q8MXR8	Uncharacterized protein (Q8MXR8_CAEEL)	CELE_Y73B3A.18		23.24858066503756	100.0	0.0	0.0				Related Proteins	Q95XE4	Q8MXR8, Q95XE4	0	1	1	0	1	0	1	0.0	0	Doubtful
14	T23G7.4_2	ref_frame-3|T23G7.4alt_frame-1			5.449003518826783	100.0	0.0	0.0				Single Protein		T23G7.4_2	0	1	1	0	1	0	1	0.0	0	Doubtful
15	G4S5K3	Uncharacterized protein (G4S5K3_CAEEL)	C46A5.5	IV	38.478124144076816	89.85	0.0	0.0				Related Proteins	Q18649	G4S5K3, Q18649	0	1	1	0	1	0	1	0.0	0	Doubtful
16	F30H5.3_9	ref_frame-1|F30H5.3alt_frame-3			6.372358237885696	100.0	0.0	0.0				Single Protein		F30H5.3_9	0	1	1	0	1	0	1	0.0	0	Doubtful
