	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	65.8	27.27	1052.4055444932349					Related Proteins	Q5VTE0	P68104, Q5VTE0	12	15	10	8	10	8	183	203	100.0	Confident
2	Q9UL46				27.384315650885558	100.0	6.69	113.54524445507896					Single Protein		Q9UL46	1	1	1	1	1	1	2	2	100.0	Doubtful
3	P31150				50.550142699300075	85.23	4.25	66.51302309991146					Related Proteins	P50395	P31150, P50395	1	1	1	1	1	1	2	2	100.0	Doubtful
4	Q9H4M9				60.58866550092089	77.15	5.99	57.862075532545575					Single Protein		Q9H4M9	2	3	3	2	3	2	5	5	100.0	Confident
5	Q9Y696				28.75374442494168	100.0	11.86	160.89316259741426					Single Protein		Q9Y696	2	2	2	2	2	2	4	4	100.0	Confident
6	Q9H4A4				72.54946048134059	73.08	6.15	98.71377237844003					Single Protein		Q9H4A4	3	5	5	3	5	3	6	8	100.0	Confident
7	P09382				14.706199322903753	100.0	13.33	301.5257047195986					Single Protein		P09382	1	1	1	1	1	1	3	4	100.0	Doubtful
8	Q9BV20				39.12535086193247	72.9	3.52	91.37142567260562					Single Protein		Q9BV20	1	2	2	1	2	1	3	4	100.0	Doubtful
9	Q9UK76				16.004911273188526	72.73	9.74	121.14872064626728					Single Protein		Q9UK76	1	1	1	1	1	1	1	1	100.0	Doubtful
10	Q96PU8				37.64672654867138	82.11	13.78	153.4550461519386					Single Protein		Q96PU8	3	3	3	3	3	3	5	5	100.0	Confident
11	Q05193				97.34697586449877	80.67	5.09	35.67670552025785					Single Protein		Q05193	3	4	2	1	2	1	5	7	100.0	Confident
12	P15311				69.36973778207663	91.64	11.95	174.34586837138804					Single Protein		P15311	6	8	8	6	8	6	14	16	100.0	Confident
13	P46459				82.54207591413305	82.8	3.9	31.653164958900323					Single Protein		P46459	2	2	2	2	2	2	2	2	100.0	Confident
14	Q8WWM7				113.30354146137523	50.79	1.4	22.501918262656613					Single Protein		Q8WWM7	1	2	2	1	2	1	2	2	100.0	Doubtful
15	Q92499				82.37975541011615	88.51	2.84	20.71550643111746					Single Protein		Q92499	1	2	2	1	2	1	2	2	100.0	Doubtful
16	Q96QD5				58.27328819950191	76.52	2.94	104.10734050420923					Single Protein		Q96QD5	1	1	1	1	1	1	3	3	100.0	Doubtful
17	P08107				70.00903707472403	77.69	29.17	459.7334311970915					Single Protein		P08107	16	20	13	10	18	14	78	88	100.0	Confident
18	P31943				49.19840896001632	83.3	16.26	178.37583467703524					Single Protein		P31943	5	7	2	2	2	2	18	20	100.0	Confident
19	P61764				67.52586152204347	84.01	9.6	136.79805129055515					Single Protein		P61764	4	4	4	4	4	4	9	9	100.0	Confident
20	Q9BSJ2				102.46890372710051	93.02	3.99	37.735636466695894					Single Protein		Q9BSJ2	3	5	5	3	5	3	4	7	100.0	Confident
21	O75351				49.27148908506657	84.91	11.26	119.97043954360689					Single Protein		O75351	3	4	4	3	4	3	5	6	100.0	Confident
22	P46109				33.75592279810639	84.16	10.56	239.44688315968125					Single Protein		P46109	2	2	2	2	2	2	5	5	100.0	Confident
23	Q99829				59.02154369385524	50.09	4.66	75.66165453001081					Single Protein		Q99829	2	2	2	2	2	2	2	2	100.0	Confident
24	Q86W34				41.23697791223748	78.89	3.61	95.55392050973195					Single Protein		Q86W34	1	1	1	1	1	1	2	2	100.0	Doubtful
25	Q8WW12				18.913399832438486	100.0	17.42	609.8272679722219					Single Protein		Q8WW12	2	2	2	2	2	2	11	11	100.0	Confident
26	P11413				59.218992654677656	83.88	5.44	65.86726559408707					Single Protein		P11413	2	2	2	2	2	2	3	3	100.0	Confident
27	TRY1_BOVIN				25.408419297583514	82.3	16.05	214.83706461271402					Single Protein		TRY1_BOVIN	3	4	4	3	4	3	7	9	100.0	Confident
28	Q9UI30				14.190259661679358	100.0	20.0	325.6477610971665					Single Protein		Q9UI30	2	2	2	2	2	2	4	4	100.0	Confident
29	P04406				36.03039786921083	80.3	9.85	167.51428039977702					Single Protein		P04406	3	3	3	3	3	3	6	6	100.0	Confident
30	Q68EM7				95.3773223984494	61.07	2.84	50.441103020007205					Single Protein		Q68EM7	1	2	2	1	2	1	2	3	100.0	Doubtful
31	Q9H1B7				82.60697858154948	62.06	9.05	107.15342314667306					Single Protein		Q9H1B7	5	6	4	3	4	3	13	14	100.0	Confident
32	K1C10_HUMAN				59.48287701205572	61.72	12.98	243.98263129982791					Related Proteins	P13645	K1C10_HUMAN, P13645	6	7	7	6	7	6	16	16	100.0	Confident
33	Q99661				81.26120702771883	91.03	3.17	39.38652166148603					Single Protein		Q99661	1	3	3	1	3	1	2	4	100.0	Doubtful
34	Q13485				60.40088003721869	53.26	17.21	201.9606863040251					Single Protein		Q13485	7	9	9	7	9	7	14	16	100.0	Confident
35	P09234				17.381237670978834	37.74	11.32	452.28855707939795					Single Protein		P09234	1	1	1	1	1	1	2	2	100.0	Doubtful
