	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	T23B12.4_2	ref_frame-2|T23B12.4alt_frame-3			12.132484188663911	52.94	0.0	0.0				Single Protein		T23B12.4_2	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
2	T28B8.1.2_3	ref_frame-2|T28B8.1alt_frame-3			4.6854181671762705	100.0	0.0	0.0				Single Protein		T28B8.1.2_3	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
3	Q09653	Putative cytochrome P450 CYP13A10 (C13AA_CAEEL)	cyp-13A10	II	59.978821481856976	92.1	0.0	0.0				Single Protein		Q09653	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
4	G4S5K3	Uncharacterized protein (G4S5K3_CAEEL)	C46A5.5	IV	38.478124144076816	89.85	0.0	0.0				Related Proteins	Q18649	G4S5K3, Q18649	0	2	2	0	2	0	2	11.042600896860987	0	Doubtful
5	F13B12.6.2_3_REVERSED	ref_frame-2|F13B12.6alt_frame-3-REVERSED			12.854289378096718	100.0	0.0	0.0				Single Protein		F13B12.6.2_3_REVERSED	0	1	1	0	1	0	2	10.684580934101085	1	Doubtful
6	Q17557_REVERSED	SCO (Yeast Suppressor of Cytochrome Oxidase deficiency) homolog (Q17557_REVERSED_CAEEL)-REVERSED			35.62713166700803	100.0	0.0	0.0				Single Protein		Q17557_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
7	F30H5.3_9	ref_frame-1|F30H5.3alt_frame-3			6.372358237885696	100.0	0.0	0.0				Single Protein		F30H5.3_9	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
8	Q9U2C4	Probable N-acetylgalactosaminyltransferase 9 (GALT9_CAEEL)	gly-9	III	66.38740306859073	92.06	0.0	0.0				Single Protein		Q9U2C4	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
9	Q22624	Uncharacterized protein (Q22624_CAEEL)	CELE_T21B10.3		135.44809076651882	84.87	0.0	0.0				Single Protein		Q22624	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
10	Q9U2C2	Yeast MCM (Licensing factor) related (Q9U2C2_CAEEL)	mcm-10	III	76.00488773533279	94.79	0.0	0.0				Single Protein		Q9U2C2	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
11	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	92.86	0.0	0.0				Single Protein		Q93575_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
12	K02B9.2_1_REVERSED	ref_frame-3|K02B9.2alt_frame-1-REVERSED			4.751367126498651	100.0	0.0	0.0				Single Protein		K02B9.2_1_REVERSED	0	2	2	0	2	0	4	11.042600896860987	1	Doubtful
13	P52554_REVERSED	Probable prefoldin subunit 6 (PFD6_CAEEL)-REVERSED			14.727427076102735	100.0	0.0	0.0				Single Protein		P52554_REVERSED	0	1	1	0	1	0	3	10.684580934101085	1	Doubtful
14	F07A5.5_2_REVERSED	ref_frame-1|F07A5.5alt_frame-2-REVERSED			7.354029872507986	100.0	0.0	0.0				Single Protein		F07A5.5_2_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
15	F40H6.4_1	ref_frame-1|F40H6.4alt_frame-2			9.549743105023014	100.0	0.0	0.0				Single Protein		F40H6.4_1	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
16	O62055_REVERSED	Uncharacterized protein (O62055_REVERSED_CAEEL)-REVERSED			181.18771854507327	90.62	0.0	0.0				Single Protein		O62055_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
17	A8WI10_REVERSED	Uncharacterized protein (A8WI10_REVERSED_CAEEL)-REVERSED			26.684960343188045	67.97	0.0	0.0				Single Protein		A8WI10_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
18	Q10655	Transcription factor elt-2 (ELT2_CAEEL)	elt-2	X	47.08649762558481	60.97	0.0	0.0				Single Protein		Q10655	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
19	ZK673.3_3	ref_frame-2|ZK673.3alt_frame-3			5.115869231797131	100.0	0.0	0.0				Single Protein		ZK673.3_3	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
20	F42A9.2.1_3_REVERSED	ref_frame-2|F42A9.2alt_frame-3-REVERSED			18.2875350796466	100.0	0.0	0.0				Single Protein		F42A9.2.1_3_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
21	Q9U2D2	Caenorhabditis KU (Q9U2D2_CAEEL)	cku-70	III	77.83496218554711	94.99	0.0	0.0				Single Protein		Q9U2D2	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
22	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0				Single Protein		F36H12.5_2	0	2	2	0	2	0	2	11.042600896860987	0	Doubtful
23	T09A5.3_2	ref_frame-2|T09A5.3alt_frame-3			7.884219700267805	100.0	0.0	0.0				Single Protein		T09A5.3_2	0	1	1	0	1	0	4	10.684580934101085	0	Doubtful
24	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	93.84	0.0	0.0				Single Protein		Q6BET0	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
25	O17656_REVERSED	Serpentine Receptor, class W (O17656_REVERSED_CAEEL)-REVERSED			43.16391524295424	73.14	0.0	0.0				Single Protein		O17656_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
26	Q6BET5	RNA interference defective protein 11 (RDE11_CAEEL)	rde-11	IV	36.39199175235579	66.77	0.0	0.0				Single Protein		Q6BET5	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
27	H2L017_REVERSED	Nuclear Hormone Receptor family (H2L017_REVERSED_CAEEL)-REVERSED			47.193981028677165	89.68	0.0	0.0				Single Protein		H2L017_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
28	O76715_REVERSED	Uncharacterized protein (O76715_REVERSED_CAEEL)-REVERSED			22.321406149244623	100.0	0.0	0.0				Single Protein		O76715_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
29	G5EEQ5	REF-1 (G5EEQ5_CAEEL)	ref-1	II	41.69407793652308	76.29	0.0	0.0				Single Protein		G5EEQ5	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
30	P90838_REVERSED	tRNA-splicing ligase RtcB homolog (RTCB_CAEEL)-REVERSED			55.19456441909586	78.02	0.0	0.0				Single Protein		P90838_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
31	G5EEQ9	Probable ergosterol biosynthetic protein 28 homolog (ERG28_CAEEL)	erg-28	V	18.529532214854967	63.58	0.0	0.0				Single Protein		G5EEQ9	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
32	O01253	C-type LECtin (O01253_CAEEL)	clec-183	IV	23.644960030666315	84.72	0.0	0.0				Single Protein		O01253	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
33	O17774_REVERSED	F-box B protein (O17774_REVERSED_CAEEL)-REVERSED			38.36466744162011	100.0	0.0	0.0				Single Protein		O17774_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
34	Q18086_REVERSED	Globin-like protein 6 (GLOB6_CAEEL)-REVERSED			43.49970350441786	92.03	0.0	0.0				Single Protein		Q18086_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
35	C33H5.14.2_1_REVERSED	ref_frame-2|C33H5.14alt_frame-3-REVERSED			7.280880132800652	100.0	0.0	0.0				Single Protein		C33H5.14.2_1_REVERSED	0	1	1	0	1	0	2	10.684580934101085	1	Doubtful
36	F09G2.9.2_2_REVERSED	ref_frame-1|F09G2.9alt_frame-2-REVERSED			24.7280218993762	100.0	0.0	0.0				Single Protein		F09G2.9.2_2_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
37	Q95XN2_REVERSED	Mitochondrial Processing Peptidase Alpha (Q95XN2_REVERSED_CAEEL)-REVERSED			57.457249824884485	82.49	0.0	0.0				Related Proteins	W6RR41_REVERSED	Q95XN2_REVERSED, W6RR41_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
38	F14D12.1a_3_REVERSED	ref_frame-1|F14D12.1alt_frame-2-REVERSED			5.1448868663651	100.0	0.0	0.0				Single Protein		F14D12.1a_3_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
39	Q9TZ74	Uncharacterized protein (Q9TZ74_CAEEL)	CELE_F40G9.14		29.82709852050059	100.0	0.0	0.0				Single Protein		Q9TZ74	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
40	Q09622	Pumilio domain-containing protein 12 (PUF12_CAEEL)	puf-12	II	86.90065073781237	95.82	0.0	0.0				Single Protein		Q09622	0	3	3	0	3	0	4	11.042600896860987	0	Doubtful
41	P54889	Probable delta-1-pyrroline-5-carboxylate synthase (ALH13_CAEEL)	alh-13	X	86.63976651188938	81.05	0.0	0.0				Single Protein		P54889	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
42	C7IVS4	DNA polymerase (C7IVS4_CAEEL)	pola-1		164.62238697946276	90.73	0.0	0.0				Related Proteins	Q9NAH1	C7IVS4, Q9NAH1	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
43	Q9TYV5	NucleOLar protein (Q9TYV5_CAEEL)	nol-1	II	73.85921008030454	82.23	0.0	0.0				Single Protein		Q9TYV5	0	1	1	0	1	0	2	10.684580934101085	0	Doubtful
44	C25G4.4_4_REVERSED	ref_frame-3|C25G4.4alt_frame-1-REVERSED			4.80541320766059	100.0	0.0	0.0				Single Protein		C25G4.4_4_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
45	O61763	Uncharacterized protein (O61763_CAEEL)	CELE_ZK380.4		27.758835178320428	100.0	0.0	0.0				Single Protein		O61763	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
46	G5ECJ3_REVERSED	Uncharacterized protein (G5ECJ3_REVERSED_CAEEL)-REVERSED			50.04233640178103	76.44	0.0	0.0				Related Proteins	G5ED61_REVERSED, G5EDY9_REVERSED, G5EFN3_REVERSED	G5ECJ3_REVERSED, G5ED61_REVERSED, G5EDY9_REVERSED, G5EFN3_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
47	Q4W5M1	Uncharacterized protein (Q4W5M1_CAEEL)	CELE_Y20F4.8		39.322708502714924	91.01	0.0	0.0				Single Protein		Q4W5M1	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
48	Q21328	Uncharacterized protein (Q21328_CAEEL)	CELE_K08D8.2		11.371798305347035	62.14	0.0	0.0				Single Protein		Q21328	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
49	Q9XUB9	Nicotinic receptor-associated protein 1 (NRA1_CAEEL)	nra-1	IV	71.0569966902728	94.79	0.0	0.0				Single Protein		Q9XUB9	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
50	O17991_REVERSED	Nuclear Hormone Receptor family (O17991_REVERSED_CAEEL)-REVERSED			51.34986430974412	87.08	0.0	0.0				Single Protein		O17991_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
51	Q23205_REVERSED	Uncharacterized protein (Q23205_REVERSED_CAEEL)-REVERSED			21.93661002831261	100.0	0.0	0.0				Single Protein		Q23205_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
52	O01299_REVERSED	Uncharacterized protein (O01299_REVERSED_CAEEL)-REVERSED			85.3259087610745	53.67	0.0	0.0				Single Protein		O01299_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
53	O17377_REVERSED	LIPaSe related (O17377_REVERSED_CAEEL)-REVERSED			30.960857953679156	100.0	0.0	0.0				Single Protein		O17377_REVERSED	0	1	1	0	1	0	2	10.684580934101085	1	Doubtful
54	Q17765_REVERSED	JuMonJi (Transcription factor) Domain protein (Q17765_REVERSED_CAEEL)-REVERSED			67.15059269120574	74.39	0.0	0.0				Single Protein		Q17765_REVERSED	0	3	3	0	3	0	3	11.042600896860987	1	Doubtful
55	H2KZX2	FLi1-Associated Protein homolog (H2KZX2_CAEEL)	flap-1	III	41.10388391079089	90.93	0.0	0.0				Related Proteins	Q8MQ17	H2KZX2, Q8MQ17	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
56	Q22670	Rab3 GTPase-activating protein regulatory subunit (RBGPR_CAEEL)	rbg-2	I	149.8137428283025	92.58	0.0	0.0				Single Protein		Q22670	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
57	ZC410.4b_1_REVERSED	ref_frame-1|ZC410.4alt_frame-2-REVERSED			6.797472675584583	100.0	0.0	0.0				Single Protein		ZC410.4b_1_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
58	O61737	WaRThog (Hedgehog-like family) (O61737_CAEEL)	wrt-9	X	61.39147451552308	46.84	0.0	0.0				Single Protein		O61737	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
59	Q19020	Dynein heavy chain, cytoplasmic (DYHC_CAEEL)	dhc-1	I	521.2493099274706	92.86	0.0	0.0				Single Protein		Q19020	0	2	2	0	2	0	2	10.684580934101085	0	Doubtful
60	A0A0K3ASM2	Cation Diffusion Facilitator family (A0A0K3ASM2_CAEEL)	cdf-1	X	55.78105226678066	65.43	0.0	0.0				Related Proteins	Q95QW4	A0A0K3ASM2, Q95QW4	0	2	2	0	2	0	2	11.042600896860987	0	Doubtful
61	O17892_REVERSED	Uncharacterized protein (O17892_REVERSED_CAEEL)-REVERSED			150.1884884817773	83.28	0.0	0.0				Single Protein		O17892_REVERSED	0	2	2	0	2	0	3	11.042600896860987	1	Doubtful
62	Q09531_REVERSED	Uncharacterized protein F07F6.4 (YQP4_CAEEL)-REVERSED			57.87535552798049	93.95	0.0	0.0				Single Protein		Q09531_REVERSED	0	1	1	0	1	0	1	10.684580934101085	1	Doubtful
63	C01G6.8a_4	ref_frame-1|C01G6.8alt_frame-2			6.877752903103786	100.0	0.0	0.0				Single Protein		C01G6.8a_4	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
64	Q21338	Transcription elongation factor SPT5 (SPT5H_CAEEL)	spt-5	IV	133.27394947095513	85.6	0.0	0.0				Single Protein		Q21338	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
65	Q9XTZ4	Uncharacterized protein (Q9XTZ4_CAEEL)	C18D11.1	III	29.782278322404096	61.98	0.0	0.0				Single Protein		Q9XTZ4	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
66	Q9XTZ1	Nuclear encoded Mitochondrial TRNA Carboxymethyl-amino-methyl modification of Uridine residues (Q9XTZ1_CAEEL)	mtcu-1	I	48.644230803101024	82.0	0.0	0.0				Single Protein		Q9XTZ1	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
67	Q9N341_REVERSED	Uncharacterized protein (Q9N341_REVERSED_CAEEL)-REVERSED			80.66836816570162	92.86	0.0	0.0				Single Protein		Q9N341_REVERSED	0	1	1	0	1	0	2	10.684580934101085	1	Doubtful
68	G5EER4	GDP-L-fucose synthase (FCL_CAEEL)	ger-1	III	35.52891760024051	89.52	0.0	0.0				Single Protein		G5EER4	0	1	1	0	1	0	1	10.684580934101085	0	Doubtful
