	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P01891				40.88310625717927	63.56	3.29	63.10749363451848					Related Proteins	P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	P01891, P01892, P10314, P10316, P10321, P16188, P16189, P16190, P18463, P30453, P30459, P30460, P30462, P30466, P30479, P30480, P30492, P30493, P30499, P30504, P30505, P30508, P30510, P30512, Q07000, Q29865, Q29940, Q29960, Q29963, Q9TNN7	1	1	0	0	0	0	1	1	100.0	Doubtful
2	Q9UKV3				151.77079068994243	73.75	14.17	125.63012439739772					Single Protein		Q9UKV3	19	20	20	19	20	19	38	43	100.0	Confident
3	Q9NXF1				105.60761109247318	67.17	3.34	71.89184697284134					Single Protein		Q9NXF1	2	2	2	2	2	2	3	3	100.0	Confident
4	P05023				112.82387958967337	59.73	1.08	28.01938651249201					Related Proteins	P13637	P05023, P13637	1	1	0	0	1	1	2	2	100.0	Doubtful
5	P68104				50.10910826932214	55.63	14.94	297.11354093927577					Related Proteins	Q5VTE0	P68104, Q5VTE0	5	7	7	5	7	5	12	18	100.0	Confident
6	P60660				16.91913314499716	82.12	13.91	274.99821729478913					Single Protein		P60660	2	2	2	2	2	2	3	3	100.0	Confident
7	P17844				69.10473382539206	71.5	15.64	169.80058975486742					Single Protein		P17844	11	14	9	9	9	9	19	26	100.0	Confident
8	B0I1T2				116.36893576141291	74.17	2.16	21.855121479743765					Single Protein		B0I1T2	1	1	1	1	1	1	1	1	100.0	Doubtful
9	P21127				92.65030386123267	76.35	6.04	62.8468658728171					Related Proteins	Q9UQ88	P21127, Q9UQ88	5	8	0	0	8	5	8	13	100.0	Confident
10	P61978				50.94440274865072	67.82	10.8	212.87765577455482					Single Protein		P61978	4	4	4	4	4	4	7	7	100.0	Confident
11	Q9BV38				47.37500670859233	46.76	3.94	228.99667726937403					Single Protein		Q9BV38	2	2	2	2	2	2	4	4	100.0	Confident
12	Q7Z4V5				74.27222971678142	82.56	10.88	125.52955007225754					Single Protein		Q7Z4V5	6	10	10	6	10	6	11	18	100.0	Confident
13	O95983				32.82332978686719	76.98	5.15	82.39033891173244					Single Protein		O95983	1	1	1	1	1	1	1	1	100.0	Doubtful
14	Q07955				27.727814961380233	100.0	33.06	591.117459780829					Single Protein		Q07955	8	9	9	8	9	8	23	24	100.0	Confident
15	Q92541				80.26460941650468	81.83	10.42	125.76421945736182					Single Protein		Q92541	7	8	8	7	8	7	10	11	100.0	Confident
16	P35613				42.17406050810534	51.43	8.31	250.14898079224793	Oxidation of M(M292)	Oxidation of M(1)			Single Protein		P35613	2	3	3	2	3	2	4	5	100.0	Confident
17	Q8TAQ2				132.7967512662691	55.02	0.66	17.722889804316324					Related Proteins	Q92922	Q8TAQ2, Q92922	1	2	0	0	2	1	2	3	90.9090909090909	Doubtful
18	P27348				27.746766754682028	79.59	25.71	442.5538204401628					Single Protein		P27348	5	6	4	3	4	3	12	13	100.0	Confident
19	P26038				67.77778967478379	86.48	9.71	114.07893080086032	Oxidation of M(M451)	Oxidation of M(1)			Single Protein		P26038	6	7	5	4	7	6	9	10	100.0	Confident
20	O14646				196.566712075484	78.07	0.58	13.412380753072725					Single Protein		O14646	1	5	5	1	5	1	1	5	99.1701244813278	Doubtful
21	Q9NW82				73.15503997746953	73.7	1.99	68.0733291992019					Single Protein		Q9NW82	1	2	2	1	2	1	2	3	100.0	Doubtful
22	O14617				130.07577953676952	61.58	1.91	43.618414717975995					Single Protein		O14617	2	2	2	2	2	2	3	3	100.0	Confident
23	P17980				49.172456381985356	92.48	2.28	102.27766209732305					Single Protein		P17980	1	1	1	1	1	1	2	2	100.0	Doubtful
24	P08185				45.11190733920037	41.73	2.96	126.21498726903695	Oxidation of M(M273)	Oxidation of M(1)			Single Protein		P08185	1	1	1	1	1	1	2	2	90.9090909090909	Doubtful
25	P08195				67.95172737646311	63.02	16.03	249.82285153012975					Single Protein		P08195	8	9	9	8	9	8	16	17	100.0	Confident
26	P52272				77.46431371933258	78.36	5.21	123.18555526608542					Single Protein		P52272	3	5	5	3	5	3	6	9	100.0	Confident
27	Q14974				97.1080146943779	54.11	2.97	104.15902377469855					Single Protein		Q14974	2	4	4	2	4	2	4	7	100.0	Confident
28	Q14978				73.55963598521475	83.4	9.01	150.84857759547245					Single Protein		Q14978	8	9	9	8	9	8	17	22	100.0	Confident
29	Q14980				238.11522374594037	83.78	12.72	90.50521508684685					Single Protein		Q14980	22	23	23	22	23	22	43	46	100.0	Confident
30	O75643				244.35261769115783	74.06	2.25	28.791631694583565					Single Protein		O75643	4	5	5	4	5	4	6	7	100.0	Confident
31	P52294				60.18354973157298	49.44	3.9	154.0234822385503					Single Protein		P52294	2	2	2	2	2	2	3	3	100.0	Confident
32	O94776				74.97573718107209	83.08	6.44	131.55217750203892					Single Protein		O94776	4	6	6	4	6	4	7	10	100.0	Confident
33	Q6NYC1				46.43314226606706	60.55	3.23	143.68418965921506					Single Protein		Q6NYC1	1	2	2	1	2	1	2	3	100.0	Doubtful
34	Q9UJX3				66.81284269657043	67.11	1.5	79.54929274236235					Single Protein		Q9UJX3	1	1	1	1	1	1	2	2	100.0	Doubtful
35	Q9Y5B9				119.83841950983168	75.84	21.68	205.41623113175362					Single Protein		Q9Y5B9	19	22	22	19	22	19	44	59	100.0	Confident
36	O75607				19.33140122125653	43.26	8.99	584.8553635424388					Single Protein		O75607	1	1	1	1	1	1	4	4	100.0	Doubtful
37	P08107				70.00903707472403	63.18	18.25	103.7758844337433					Single Protein		P08107	9	9	5	5	7	7	14	17	100.0	Confident
38	O94921				53.02332162466998	82.73	1.71	16.716880358902237					Related Proteins	P06239, P06241, P06493, P07947, P07948, P08631, P09769, P11362, P11802, P20794, P21802, P22455, P22607, P24941, P50750, P51451, Q00526, Q00534, Q00535, Q00536, Q00537, Q07002, Q14004, Q8IZL9, Q96Q40, Q9NYV4, Q9UPZ9	O94921, P06239, P06241, P06493, P07947, P07948, P08631, P09769, P11362, P11802, P20794, P21802, P22455, P22607, P24941, P50750, P51451, Q00526, Q00534, Q00535, Q00536, Q00537, Q07002, Q14004, Q8IZL9, Q96Q40, Q9NYV4, Q9UPZ9	1	1	0	0	1	1	2	2	100.0	Doubtful
39	Q8WVC0				75.35929358700905	74.92	5.56	68.95713148047172					Single Protein		Q8WVC0	3	3	3	3	3	3	3	5	100.0	Confident
40	P29692				31.10278320777167	73.67	24.91	278.3092871708771					Single Protein		P29692	5	7	7	5	7	5	10	13	100.0	Confident
41	P39023				46.07975892378356	81.89	6.2	137.3853790289931					Single Protein		P39023	3	3	3	3	3	3	5	5	100.0	Confident
42	Q07666				48.19718285574685	61.17	4.51	138.41576937171052					Single Protein		Q07666	1	1	1	1	1	1	2	2	100.0	Doubtful
43	Q14839				217.86707363306158	69.67	0.84	25.56941552433076					Single Protein		Q14839	1	2	2	1	2	1	2	3	90.47619047619048	Doubtful
44	Q9HCK8				290.33774281358916	65.56	5.19	45.69812778153693					Single Protein		Q9HCK8	10	16	14	8	16	10	16	24	100.0	Confident
45	O75369				277.9900580055979	63.95	1.27	28.716964599939942					Single Protein		O75369	3	4	3	2	3	2	5	6	100.0	Confident
46	P46100				282.4106013920682	77.69	0.76	27.53629364158697					Single Protein		P46100	2	6	6	2	6	2	4	11	100.0	Confident
47	Q02878				32.70762882198842	100.0	26.39	710.2733800348932					Single Protein		Q02878	8	11	11	8	11	8	23	31	100.0	Confident
48	P62873				37.35301306157102	53.82	2.94	90.27115393807208					Related Proteins	P62879, Q9HAV0	P62873, P62879, Q9HAV0	1	1	0	0	1	1	2	2	100.0	Doubtful
49	Q9H307				81.56496230550445	83.82	6.97	129.6325057189185					Single Protein		Q9H307	4	9	9	4	9	4	10	21	100.0	Confident
50	Q13547				55.067726781189066	61.62	4.36	82.78455105963546					Single Protein		Q13547	2	3	2	1	3	2	3	4	100.0	Confident
51	Q86VM9				106.31549655664293	80.48	11.12	97.44755478460576					Single Protein		Q86VM9	9	12	12	9	12	9	14	20	100.0	Confident
52	P55884				92.42381998346609	66.22	8.23	150.72190221144663					Single Protein		P55884	6	7	7	6	7	6	10	11	100.0	Confident
53	Q9Y4B6				168.90010915161395	56.01	0.53	36.23449459992422					Single Protein		Q9Y4B6	1	2	2	1	2	1	2	3	90.9090909090909	Doubtful
54	P67870				24.926002234218686	58.6	5.12	235.9359705199611					Single Protein		P67870	1	1	1	1	1	1	2	2	100.0	Doubtful
55	P05787				53.671133015589	83.23	2.48	103.29535027739591					Single Protein		P05787	1	2	2	1	2	1	2	3	100.0	Doubtful
56	Q9UHR5				33.84966976838422	70.13	12.66	318.53001319849704					Single Protein		Q9UHR5	3	4	4	3	4	3	6	7	100.0	Confident
57	Q9Y2W1				108.6010168388624	94.76	3.77	42.06004041681811					Single Protein		Q9Y2W1	3	3	3	3	3	3	3	3	100.0	Confident
58	P35527				62.02681468242336	48.8	2.57	48.7379469618699					Single Protein		P35527	1	1	1	1	1	1	1	1	100.0	Doubtful
59	P35579				226.39159129111036	89.64	3.11	22.94691136798914					Single Protein		P35579	4	7	7	4	7	4	4	7	100.0	Confident
60	A8MTJ3				40.33116067602144	77.68	3.11	25.791758268020594					Related Proteins	P04899, P08754, P09471, P11488, P19087, P38405, P63092, P63096, Q03113, Q14344, Q5JWF2	A8MTJ3, P04899, P08754, P09471, P11488, P19087, P38405, P63092, P63096, Q03113, Q14344, Q5JWF2	1	1	0	0	1	1	2	2	100.0	Doubtful
61	O95816				23.757210989279223	89.57	5.21	196.79967209247943					Single Protein		O95816	1	1	1	1	1	1	2	2	100.0	Doubtful
62	Q08945				81.02442027045807	72.5	24.12	194.826613421745					Single Protein		Q08945	15	21	21	15	21	15	32	43	100.0	Confident
63	Q9UHX1				59.83762419975925	49.37	3.94	55.07258728317394					Single Protein		Q9UHX1	1	1	1	1	1	1	1	1	100.0	Doubtful
64	O75400				108.73657562141065	66.04	4.28	109.22334742387487					Single Protein		O75400	4	5	5	4	5	4	7	10	100.0	Confident
