	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P51531				181.16629630031673	71.19	0.0	0.0					Related Proteins	P51532	P51531, P51532	0	1	1	0	1	0	0	1	0.0	Doubtful
2	Q674R7				100.95506262768923	62.01	0.0	0.0					Single Protein		Q674R7	0	1	1	0	1	0	0	1	0.0	Doubtful
3	NM_021250_1	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5 (LILRA5), transcript variant 1, mRNA|LILRA5|frame-3			5.045510764315112	100.0	0.0	0.0					Related Proteins	NM_181879_1	NM_021250_1, NM_181879_1	0	1	1	0	1	0	0	1	0.0	Doubtful
4	NM_001013839_3	Homo sapiens exocyst complex component 7 (EXOC7), transcript variant 1, mRNA|EXOC7|frame-1			6.5421722131314315	100.0	0.0	0.0					Related Proteins	NM_001145296_4, NM_001145297_3, NM_001145298_3, NM_001145299_3, NM_015219_3	NM_001013839_3, NM_001145296_4, NM_001145297_3, NM_001145298_3, NM_001145299_3, NM_015219_3	0	1	1	0	1	0	0	1	0.0	Doubtful
5	Q9UKU6				116.9258329375981	78.22	0.0	0.0					Single Protein		Q9UKU6	0	1	1	0	1	0	0	1	0.0	Doubtful
6	O14545				64.80014510808677	59.45	0.0	0.0					Single Protein		O14545	0	1	1	0	1	0	0	1	0.0	Doubtful
7	Q02548				42.12321656561215	56.52	0.0	0.0					Related Proteins	Q02962, Q06710	Q02548, Q02962, Q06710	0	1	1	0	1	0	0	1	0.0	Doubtful
8	Q9UKU7				45.04047116324456	90.36	0.0	0.0					Single Protein		Q9UKU7	0	1	1	0	1	0	0	1	0.0	Doubtful
9	P30876				133.81068609894038	81.01	0.0	0.0					Single Protein		P30876	0	1	1	0	1	0	0	1	0.0	Doubtful
10	NM_032291_1	Homo sapiens SH3-domain GRB2-like (endophilin) interacting protein 1 (SGIP1), mRNA|SGIP1|frame-3			12.409715896569521	100.0	0.0	0.0					Single Protein		NM_032291_1	0	1	1	0	1	0	0	1	0.0	Doubtful
11	Q5JST6				87.34104189865977	92.26	0.0	0.0					Single Protein		Q5JST6	0	2	2	0	2	0	0	2	0.0	Doubtful
12	Q7Z4N2				182.0622402206764	81.47	0.0	0.0					Single Protein		Q7Z4N2	0	1	1	0	1	0	0	1	0.0	Doubtful
13	Q5SXJ2				77.54170023463799	72.69	0.0	0.0					Related Proteins	Q8N660	Q5SXJ2, Q8N660	0	2	1	0	1	0	0	2	0.0	Doubtful
14	Q5VVW2				112.78156224949764	70.68	0.0	0.0					Single Protein		Q5VVW2	0	1	1	0	1	0	0	1	0.0	Doubtful
15	NM_013386_1	Homo sapiens solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24 (SLC25A24), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA|SLC25A24|frame-3			5.485793711339591	100.0	0.0	0.0					Single Protein		NM_013386_1	0	1	1	0	1	0	0	1	0.0	Doubtful
16	Q567U6				73.15190051221317	90.81	2.06	32.753158474540406					Single Protein		Q567U6	1	2	2	1	2	1	2	3	100.0	Doubtful
17	Q9UKV0				111.22781537358844	55.59	0.0	0.0					Single Protein		Q9UKV0	0	1	1	0	1	0	0	2	0.0	Doubtful
18	NM_017940_7	Homo sapiens neuroblastoma breakpoint family, member 1 (NBPF1), mRNA|NBPF1|frame-2			21.43565296600562	100.0	0.0	0.0					Single Protein		NM_017940_7	0	1	1	0	1	0	0	1	0.0	Doubtful
19	NM_018328_1	Homo sapiens methyl-CpG binding domain protein 5 (MBD5), mRNA|MBD5|frame-1			9.420968765236724	100.0	0.0	0.0					Single Protein		NM_018328_1	0	1	1	0	1	0	0	1	0.0	Doubtful
20	NM_005847_1	Homo sapiens solute carrier family 23 (nucleobase transporters), member 1 (SLC23A1), transcript variant 1, mRNA|SLC23A1|frame-3			4.341015597365471	100.0	0.0	0.0					Related Proteins	NM_152685_1	NM_005847_1, NM_152685_1	0	1	1	0	1	0	0	2	0.0	Doubtful
