	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A6NDG6				33.984507764597794	77.26	7.17	156.97998176200588					Single Protein		A6NDG6	2	3	3	2	3	2	3	4	100.0	Confident
2	P54819				26.460771885631072	89.54	4.6	120.41700135160839					Single Protein		P54819	1	1	1	1	1	1	1	1	100.0	Doubtful
3	P36952				42.073395916909256	86.4	8.0	281.40115249189205					Single Protein		P36952	3	4	4	3	4	3	6	8	100.0	Confident
4	P00966				46.50096354242852	85.44	2.67	76.33862950407004					Single Protein		P00966	1	3	3	1	3	1	3	7	100.0	Doubtful
5	O95994				19.96661539702317	100.0	6.29	164.45521898876805					Single Protein		O95994	1	1	1	1	1	1	1	1	100.0	Doubtful
6	Q96AE4				67.5184714874304	57.76	15.37	1095.7910907356866					Single Protein		Q96AE4	8	11	11	8	11	8	48	55	100.0	Confident
7	Q9H3K6				10.110178220832056	100.0	10.47	669.2944958845211					Single Protein		Q9H3K6	1	2	2	1	2	1	3	4	100.0	Doubtful
8	O43175				56.61440433066414	60.41	3.75	246.68282848315212					Single Protein		O43175	2	2	2	2	2	2	4	4	100.0	Confident
9	P17931				26.136053217437922	48.8	24.0	959.3221107678139					Single Protein		P17931	5	5	5	5	5	5	9	13	100.0	Confident
10	O60361				15.518981266030476	100.0	27.01	301.1011004599707					Related Proteins	P22392	O60361, P22392	3	4	0	0	3	2	7	12	100.0	Confident
11	Q9Y617				40.39681092152717	76.22	11.35	354.719403233009					Single Protein		Q9Y617	5	6	6	5	6	5	9	10	100.0	Confident
12	P40261				29.55506002205863	64.39	6.82	445.0463400469239					Single Protein		P40261	2	3	3	2	3	2	5	6	100.0	Doubtful
13	P31949				11.732825092726639	70.48	32.38	2592.762461534631					Single Protein		P31949	3	4	4	3	4	3	13	22	100.0	Confident
14	Q9NUQ9				36.724647873975975	91.67	4.01	177.6522427347803					Single Protein		Q9NUQ9	1	1	1	1	1	1	2	2	100.0	Doubtful
15	P61769				13.705910892344157	100.0	8.4	483.6918205552001					Single Protein		P61769	1	1	1	1	1	1	2	2	100.0	Doubtful
16	P22102				107.69899963821013	67.43	1.09	33.2712870786525					Single Protein		P22102	1	4	4	1	4	1	1	5	100.0	Doubtful
17	Q13526				18.231970247327368	84.66	30.67	470.8329378001539					Single Protein		Q13526	4	4	4	4	4	4	6	9	100.0	Confident
18	P15121				35.83049371410672	79.43	3.48	102.4187306869552					Single Protein		P15121	1	1	1	1	1	1	1	1	100.0	Doubtful
19	P40121				38.47447311669611	50.29	6.32	188.71910375760268					Single Protein		P40121	2	2	2	2	2	2	3	5	100.0	Confident
20	Q9NTZ6				97.3334010122915	43.78	1.82	184.8800641736686					Single Protein		Q9NTZ6	2	2	2	2	2	2	4	4	100.0	Confident
21	P04406				36.03039786921083	73.13	38.21	3363.1352902210897	Oxidation of M(M231)	Oxidation of M(1)			Single Protein		P04406	15	18	18	15	18	15	134	175	100.0	Confident
22	Q9UHD1				37.46563440261378	84.64	4.82	86.68573290070606					Single Protein		Q9UHD1	1	2	2	1	2	1	1	3	100.0	Doubtful
23	Q8WUM4				95.96312053654198	71.66	6.11	131.05493316500187					Single Protein		Q8WUM4	4	4	4	4	4	4	6	6	100.0	Confident
24	P23526				47.68520377095517	70.6	23.84	593.64140297084					Single Protein		P23526	11	13	11	10	13	11	28	35	100.0	Confident
25	P23528				18.490657770592385	100.0	45.78	1772.723237819438					Single Protein		P23528	7	9	8	6	9	7	23	29	100.0	Confident
26	Q8N9N7				26.73731176888876	74.48	5.02	140.3886015757776					Single Protein		Q8N9N7	1	1	1	1	1	1	1	1	100.0	Doubtful
27	P11586				101.49530567522311	74.33	3.85	93.0778244600078					Single Protein		P11586	2	7	7	2	7	2	3	10	100.0	Confident
28	Q13404				16.484326778844846	100.0	12.93	587.3400678170287					Single Protein		Q13404	2	2	2	2	2	2	4	4	100.0	Confident
29	Q9Y3C8				19.44601767942593	68.26	13.77	344.66662662316656					Single Protein		Q9Y3C8	2	2	2	2	2	2	3	3	100.0	Confident
30	P15088				48.63878635153954	87.77	3.12	966.2237086870065					Single Protein		P15088	1	1	1	1	1	1	14	35	100.0	Doubtful
31	Q9HC38				34.771254215832116	83.71	3.51	183.8956122877598					Single Protein		Q9HC38	1	1	1	1	1	1	2	2	100.0	Doubtful
32	Q12852				93.16087731825641	63.45	0.93	42.1989198284962					Single Protein		Q12852	1	1	1	1	1	1	1	1	100.0	Doubtful
33	Q92945				73.07002403537254	60.48	16.32	214.04027471409032					Single Protein		Q92945	8	8	8	8	8	8	13	13	100.0	Confident
34	P63313				5.022552956910162	100.0	31.82	1635.2081433542278	Oxidation of M(M7)	Oxidation of M(1)			Single Protein		P63313	2	2	2	2	2	2	3	3	100.0	Confident
35	P07195				36.61514296895986	84.73	23.05	418.6441013421378					Single Protein		P07195	7	7	6	6	6	6	13	18	100.0	Confident
36	P32119				21.87823782783635	58.08	9.09	760.438258535462					Single Protein		P32119	3	4	3	3	3	3	8	10	100.0	Confident
37	P0CG47				25.745838190769668	100.0	44.54	418.9179523003554					Related Proteins	P0CG48, P62979, P62987	P0CG47, P0CG48, P62979, P62987	3	5	0	0	5	3	21	44	100.0	Confident
38	Q96EP5				43.35605580613451	48.16	9.58	365.6608942388528					Single Protein		Q96EP5	3	4	4	3	4	3	4	7	100.0	Confident
39	P60763				21.36504911191747	59.38	9.9	506.6842134337044					Related Proteins	P63000	P60763, P63000	2	3	3	2	3	2	3	5	100.0	Confident
40	P09960				69.24123745121057	86.25	2.45	54.61036683687744					Single Protein		P09960	1	2	2	1	2	1	2	2	100.0	Doubtful
41	Q00796				38.299813549561314	77.87	2.52	80.61530342586668					Single Protein		Q00796	1	2	2	1	2	1	1	2	100.0	Doubtful
42	P26447				11.720732061372276	70.3	16.83	854.8414848426062					Single Protein		P26447	2	2	2	2	2	2	4	4	100.0	Confident
43	Q96DG6				28.030174457635486	84.08	3.27	558.8284140395031					Single Protein		Q96DG6	1	2	2	1	2	1	4	8	100.0	Doubtful
44	Q9UMY4				19.71809252868353	80.81	16.28	759.1757711112194					Single Protein		Q9UMY4	3	4	4	3	4	3	6	11	100.0	Confident
45	P14174				12.468219306490504	52.17	16.52	1678.813693843674					Single Protein		P14174	2	3	3	2	3	2	5	6	100.0	Confident
46	Q13951				21.494693547026156	85.71	8.79	158.13001825843085					Single Protein		Q13951	1	1	1	1	1	1	1	1	100.0	Doubtful
47	Q7L9L4				25.074638247513708	64.35	5.56	346.7429316028242					Related Proteins	Q9H8S9	Q7L9L4, Q9H8S9	1	1	1	1	1	1	2	2	100.0	Doubtful
48	P04792				22.76849291782661	66.83	15.12	258.4999699673749					Single Protein		P04792	2	4	4	2	4	2	3	4	100.0	Confident
49	P21291				20.55376279588531	100.0	51.3	3019.8054082663357					Single Protein		P21291	8	8	8	8	8	8	28	41	100.0	Confident
50	Q7Z7F0				64.80489030602226	56.03	1.63	77.99366754209868					Single Protein		Q7Z7F0	1	3	3	1	3	1	1	3	100.0	Doubtful
51	Q06830				22.096278847426646	75.38	37.69	752.0314034159748					Single Protein		Q06830	6	8	7	6	7	6	11	14	100.0	Confident
52	P52565				23.192705365827848	64.71	15.2	327.04162867084557					Single Protein		P52565	2	2	2	2	2	2	2	2	100.0	Confident
53	O00244				7.396735185012733	100.0	13.24	846.4606859716002					Single Protein		O00244	1	1	1	1	1	1	2	2	100.0	Doubtful
54	P15531				17.137671231368294	83.55	34.21	820.6367885344625					Single Protein		P15531	5	6	2	1	2	1	14	15	100.0	Confident
55	P68036				17.850239077792654	83.77	15.58	280.3213960035819					Single Protein		P68036	2	3	3	2	3	2	2	4	100.0	Confident
56	P15559				30.848008225426106	67.88	8.76	267.71779835380846					Single Protein		P15559	2	2	2	2	2	2	3	3	100.0	Confident
57	Q9H6D8				25.142936733327304	57.26	7.26	153.08331554805537					Single Protein		Q9H6D8	1	1	1	1	1	1	1	2	100.0	Doubtful
58	P09651				38.723049790736084	73.92	6.18	209.30664234934116					Single Protein		P09651	2	4	4	2	4	2	4	13	100.0	Confident
59	O75828				30.83071954782364	89.17	10.47	103.89770152720003					Related Proteins	P16152	O75828, P16152	2	2	0	0	2	2	3	3	100.0	Confident
60	O75874				46.62951442889963	86.71	3.14	150.2854481620596					Single Protein		O75874	1	1	1	1	1	1	2	2	100.0	Doubtful
61	P68104				50.10910826932214	60.61	4.55	258.94298619696775					Related Proteins	Q05639, Q5VTE0	P68104, Q05639, Q5VTE0	2	3	3	2	3	2	6	7	100.0	Confident
62	P33316				26.546602511651518	100.0	7.14	571.0250659332224					Single Protein		P33316	2	3	3	2	3	2	6	9	100.0	Confident
63	P50454				46.411177198189904	86.84	9.09	103.27630379079334					Single Protein		P50454	2	2	2	2	2	2	2	2	100.0	Confident
64	Q5VZF2				40.49117601379163	47.99	2.95	211.61517149290006					Related Proteins	Q9NR56	Q5VZF2, Q9NR56	1	1	0	0	0	0	3	3	100.0	Doubtful
65	Q5T6V5				39.00376757408774	84.46	2.35	84.3978396569924					Single Protein		Q5T6V5	1	1	1	1	1	1	1	1	100.0	Doubtful
66	Q9NPD8				22.506615622967384	80.71	12.18	452.5104296074593					Single Protein		Q9NPD8	2	3	3	2	3	2	3	4	100.0	Confident
67	P61081				20.886648718015564	83.06	27.32	943.5437865775538					Single Protein		P61081	6	6	6	6	6	6	13	15	100.0	Confident
68	O60493				18.750757499368007	79.63	12.96	669.2944958845211					Single Protein		O60493	2	5	5	2	5	2	5	11	100.0	Confident
69	Q96IU4				22.331556283019452	56.19	11.43	595.4413101317464					Single Protein		Q96IU4	2	2	2	2	2	2	4	4	100.0	Confident
70	P07737				15.04455603947334	82.14	32.86	1473.2446701077138					Single Protein		P07737	4	7	7	4	7	4	13	24	100.0	Confident
71	P07741				19.59543222814147	100.0	7.22	159.8870184613023					Single Protein		P07741	1	1	1	1	1	1	1	1	100.0	Doubtful
72	O60504				75.29490642730411	74.52	1.94	45.68200527465779					Single Protein		O60504	1	2	2	1	2	1	1	2	100.0	Doubtful
73	P61204				20.58772996043145	85.08	23.2	466.4107499865614					Single Protein		P61204	3	4	1	1	1	1	6	7	100.0	Confident
74	P30086				21.043666033120086	82.89	20.32	433.242243572561					Single Protein		P30086	3	5	5	3	5	3	4	8	100.0	Confident
75	Q8NDC0				24.253527224950535	6.94	6.94	1692.9213719432005					Single Protein		Q8NDC0	1	1	1	1	1	1	1	1	100.0	Doubtful
76	P30041				25.01919029056794	100.0	26.34	364.02847953242934					Single Protein		P30041	4	5	5	4	5	4	6	8	100.0	Confident
77	P30043				22.105426425215388	61.65	4.85	279.41420701975153					Single Protein		P30043	1	1	1	1	1	1	2	2	100.0	Doubtful
78	P30044				22.07254713240143	100.0	14.95	201.726612077344					Single Protein		P30044	2	2	2	2	2	2	2	2	100.0	Confident
79	P30047				9.69189140685588	70.24	9.52	685.2300791198669					Single Protein		P30047	1	1	1	1	1	1	2	2	100.0	Doubtful
80	Q16719				52.318185785313766	76.13	19.78	321.0429815135674					Single Protein		Q16719	7	7	7	7	7	7	12	12	100.0	Confident
81	Q96GD0				31.678294911643373	79.73	4.73	109.84604321768857					Single Protein		Q96GD0	1	1	1	1	1	1	1	1	100.0	Doubtful
82	P14550				36.54985575871185	88.92	3.69	199.16722022861182					Single Protein		P14550	1	1	1	1	1	1	2	2	100.0	Doubtful
83	P18085				20.497693089457204	84.44	4.44	319.7740369226046					Single Protein		P18085	1	2	1	1	1	1	2	3	100.0	Doubtful
84	Q96H79				32.94047445448965	89.0	2.67	107.7890012098667					Single Protein		Q96H79	1	1	1	1	1	1	1	3	100.0	Doubtful
85	Q16658				54.49605214840773	89.25	23.53	571.0503371882148					Single Protein		Q16658	11	14	14	11	14	11	37	47	100.0	Confident
86	Q14019				15.935034595785643	80.99	11.27	1013.3684268674087					Single Protein		Q14019	1	3	3	1	3	1	7	13	100.0	Doubtful
87	Q15366				38.55559150707409	70.96	15.89	399.7175461532557					Single Protein		Q15366	5	9	6	4	6	4	11	18	100.0	Confident
88	Q15365				37.47394333412713	74.44	26.69	532.2884439056522					Single Protein		Q15365	7	12	9	6	9	6	18	26	100.0	Confident
89	P07355				38.579814745475446	92.92	41.3	483.8118446805531					Single Protein		P07355	16	19	19	16	19	16	34	43	100.0	Confident
90	P50395				50.63087759630439	88.54	10.11	253.30415284318678					Single Protein		P50395	4	6	6	4	6	4	7	10	100.0	Confident
91	P18206				123.72181246424282	87.04	4.06	67.24220402578132					Single Protein		P18206	3	5	5	3	5	3	5	7	100.0	Confident
92	P14618				57.900023352394655	89.45	28.81	2131.300185453517					Single Protein		P14618	11	13	13	11	13	11	79	90	100.0	Confident
93	P42330				36.829841324582866	90.4	5.57	180.69423319256765					Related Proteins	P52895, Q04828	P42330, P52895, Q04828	3	3	0	0	3	3	6	7	100.0	Confident
94	Q06124				68.3933225155252	86.77	1.68	96.4142824892275					Single Protein		Q06124	1	3	3	1	3	1	3	4	100.0	Doubtful
95	P29401				67.83472466865913	66.45	26.48	410.78253042946096					Single Protein		P29401	14	17	17	14	17	14	36	58	100.0	Confident
96	P06703				10.17334253467881	72.22	8.89	959.3221107678137					Single Protein		P06703	1	2	2	1	2	1	3	5	100.0	Doubtful
97	P06733				47.13931928557345	93.09	52.53	1199.1325571812893					Single Protein		P06733	15	20	15	11	20	15	81	93	100.0	Confident
98	P06744				63.107243509486466	71.86	14.34	175.28095459324385					Single Protein		P06744	5	7	7	5	7	5	6	10	100.0	Confident
99	P37837				37.5164616280995	73.59	13.95	520.2775157188345					Single Protein		P37837	5	6	6	5	6	5	10	13	100.0	Confident
100	P37802				22.377173006691002	100.0	39.7	1110.1415955188197	Oxidation of M(M178)	Oxidation of M(1)			Single Protein		P37802	7	9	9	7	9	7	18	22	100.0	Confident
101	Q8N8R5				43.42061205578022	80.26	3.12	149.5047445352437					Single Protein		Q8N8R5	1	1	1	1	1	1	2	2	100.0	Doubtful
102	P53004				33.40733018992675	78.38	14.86	298.6216687214984					Single Protein		P53004	4	4	4	4	4	4	6	9	100.0	Confident
