	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Decoy	Validation
1	Q22344_REVERSED	Uncharacterized protein (Q22344_REVERSED_CAEEL)-REVERSED			21.907860984814267	100.0	0.0	0.0				Single Protein		Q22344_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
2	Q86GC1	Uncharacterized protein (Q86GC1_CAEEL)	CELE_T04B2.7		40.52313000422442	92.92	0.0	0.0				Single Protein		Q86GC1	0	1	1	0	1	0	1	0.0	0	Doubtful
3	O76653_REVERSED	Uncharacterized protein (O76653_REVERSED_CAEEL)-REVERSED			41.94573968939607	54.91	0.0	0.0				Single Protein		O76653_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
4	R13A5.9_2	ref_frame-3|R13A5.9alt_frame-1			7.885464962914056	100.0	0.0	0.0				Single Protein		R13A5.9_2	0	2	2	0	2	0	3	0.0	0	Doubtful
5	Q9TYS1	Uncharacterized protein (Q9TYS1_CAEEL)	CELE_D1037.1		89.6548989764535	94.91	0.0	0.0				Single Protein		Q9TYS1	0	2	2	0	2	0	2	0.0	0	Doubtful
6	Q20892_REVERSED	Uncharacterized protein (Q20892_REVERSED_CAEEL)-REVERSED			43.04445903088967	85.94	0.0	0.0				Single Protein		Q20892_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
7	F14F11.1h_1_REVERSED	ref_frame-1|F14F11.1alt_frame-2-REVERSED			5.5398213826394125	100.0	0.0	0.0				Single Protein		F14F11.1h_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
8	F23B12.7.2_4	ref_frame-3|F23B12.7alt_frame-1			12.359327958873614	100.0	0.0	0.0				Single Protein		F23B12.7.2_4	0	1	1	0	1	0	1	0.0	0	Doubtful
9	F30H5.3_5	ref_frame-1|F30H5.3alt_frame-2			13.578035750029114	100.0	0.0	0.0				Single Protein		F30H5.3_5	0	1	1	0	1	0	2	0.0	0	Doubtful
10	F13B12.6.2_3_REVERSED	ref_frame-2|F13B12.6alt_frame-3-REVERSED			12.854289378096718	100.0	0.0	0.0				Single Protein		F13B12.6.2_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
11	F30H5.3_6	ref_frame-1|F30H5.3alt_frame-2			8.773371950092576	100.0	0.0	0.0				Single Protein		F30H5.3_6	0	1	1	0	1	0	1	0.0	0	Doubtful
12	ZK856.1_2_REVERSED	ref_frame-1|ZK856.1alt_frame-2-REVERSED			7.039366747393962	0.0	0.0	0.0				Single Protein		ZK856.1_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
13	F33D11.5_1	ref_frame-1|F33D11.5alt_frame-2			5.596167856326973	100.0	0.0	0.0				Single Protein		F33D11.5_1	0	1	1	0	1	0	1	0.0	0	Doubtful
14	F30H5.3_7	ref_frame-1|F30H5.3alt_frame-2			5.986054521405313	30.91	0.0	0.0				Single Protein		F30H5.3_7	0	1	1	0	1	0	1	0.0	0	Doubtful
15	Q93575_REVERSED	Regulator of telomere elongation helicase 1 homolog (RTEL1_CAEEL)-REVERSED			112.87338902006272	87.53	0.0	0.0				Single Protein		Q93575_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
16	O01686_REVERSED	Oxysterol-binding protein (O01686_REVERSED_CAEEL)-REVERSED			76.60922893678895	71.75	0.0	0.0				Related Proteins	Q8I7N6_REVERSED	O01686_REVERSED, Q8I7N6_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
17	ZK520.4b.2_1_REVERSED	ref_frame-2|ZK520.4alt_frame-1-REVERSED			6.047042685293323	100.0	0.0	0.0				Single Protein		ZK520.4b.2_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
18	P52554_REVERSED	Probable prefoldin subunit 6 (PFD6_CAEEL)-REVERSED			14.727427076102735	100.0	0.0	0.0				Single Protein		P52554_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
19	Q17474	Uncharacterized protein (Q17474_CAEEL)	B0334.3	II	69.10873969082684	78.23	0.0	0.0				Related Proteins	Q17475	Q17474, Q17475	0	1	1	0	1	0	3	0.0	0	Doubtful
20	F52D2.6_5	ref_frame-1|F52D2.6alt_frame-2			5.12261498672856	43.75	0.0	0.0				Single Protein		F52D2.6_5	0	2	2	0	2	0	3	0.0	0	Doubtful
21	Q1EPL7_REVERSED	Uncharacterized protein (Q1EPL7_REVERSED_CAEEL)-REVERSED			29.891244370959285	58.57	0.0	0.0				Single Protein		Q1EPL7_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
22	O62055_REVERSED	Uncharacterized protein (O62055_REVERSED_CAEEL)-REVERSED			181.18771854507327	78.81	0.0	0.0				Single Protein		O62055_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
23	Q9U3K8_REVERSED	Uncharacterized protein (Q9U3K8_REVERSED_CAEEL)-REVERSED			25.04194914265976	100.0	0.0	0.0				Single Protein		Q9U3K8_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
24	T27E9.1d.11_3	ref_frame-2|T27E9.1alt_frame-3			9.620146401071556	100.0	28.09	457.2934979652108				Single Protein		T27E9.1d.11_3	3	4	1	0	1	26	32	0.0	0	Doubtful
25	K01G5.9.2_3	ref_frame-1|K01G5.9alt_frame-2			11.15508065593094	73.2	0.0	0.0				Single Protein		K01G5.9.2_3	0	1	1	0	1	0	2	0.0	0	Doubtful
26	G5EGF6_REVERSED	Uncharacterized protein (G5EGF6_REVERSED_CAEEL)-REVERSED			31.37817434097998	90.41	0.0	0.0				Single Protein		G5EGF6_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
27	K04H4.5_1	ref_frame-3|K04H4.5alt_frame-1			4.4235439918711705	100.0	0.0	0.0				Single Protein		K04H4.5_1	0	1	1	0	1	0	1	0.0	0	Doubtful
28	C37C3.6b.1_11_REVERSED	ref_frame-2|C37C3.6alt_frame-3-REVERSED			17.370341526228938	100.0	0.0	0.0				Single Protein		C37C3.6b.1_11_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
29	C05D2.10a.2_3_REVERSED	ref_frame-1|C05D2.10alt_frame-2-REVERSED			20.033771851390487	64.37	0.0	0.0				Single Protein		C05D2.10a.2_3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
30	Q10663_REVERSED	Bifunctional glyoxylate cycle protein (GCP_CAEEL)-REVERSED			108.56069269664299	83.06	0.0	0.0				Single Protein		Q10663_REVERSED	0	3	3	0	3	0	3	0.0	1	Doubtful
31	F36H12.5_2	ref_frame-1|F36H12.5alt_frame-2			7.017990312251984	100.0	0.0	0.0				Single Protein		F36H12.5_2	0	2	2	0	2	0	2	0.0	0	Doubtful
32	T09A5.3_2	ref_frame-2|T09A5.3alt_frame-3			7.884219700267805	100.0	0.0	0.0				Single Protein		T09A5.3_2	0	1	1	0	1	0	1	0.0	0	Doubtful
33	Q17439_REVERSED	Uncharacterized protein B0035.15 (YQVW_CAEEL)-REVERSED			33.31632295751741	100.0	0.0	0.0				Single Protein		Q17439_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
34	Q6BET0	Ligand-Gated ion Channel (Q6BET0_CAEEL)	lgc-36	V	62.348016689574756	88.81	0.0	0.0				Single Protein		Q6BET0	0	1	1	0	1	0	2	0.0	0	Doubtful
35	M03F4.7a.1_3_REVERSED	ref_frame-2|M03F4.7alt_frame-3-REVERSED			8.150203636703905	100.0	0.0	0.0				Single Protein		M03F4.7a.1_3_REVERSED	0	1	1	0	1	0	4	0.0	1	Doubtful
36	O16242_REVERSED	Mitochondrial sodium/calcium exchanger protein (NCX9_CAEEL)-REVERSED			73.46032503317564	51.92	0.0	0.0				Single Protein		O16242_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
37	Q6BET5	RNA interference defective protein 11 (RDE11_CAEEL)	rde-11	IV	36.39199175235579	66.77	0.0	0.0				Single Protein		Q6BET5	0	1	1	0	1	0	1	0.0	0	Doubtful
38	Y4C6A.2d_5	ref_frame-2|Y4C6A.2alt_frame-3			7.782934785822837	100.0	0.0	0.0				Single Protein		Y4C6A.2d_5	0	1	1	0	1	0	1	0.0	0	Doubtful
39	C43E11.3b_2_REVERSED	ref_frame-1|C43E11.3alt_frame-2-REVERSED			13.702296746273314	100.0	0.0	0.0				Single Protein		C43E11.3b_2_REVERSED	0	2	2	0	2	0	2	0.0	1	Doubtful
40	A0A061AD47	Uncharacterized protein (A0A061AD47_CAEEL)	tag-273	IV	100.51490861976345	92.48	0.0	0.0				Related Proteins	A0A061AE99, H2L2L1, Q86CZ7	A0A061AD47, A0A061AE99, H2L2L1, Q86CZ7	0	2	1	0	1	0	3	0.0	0	Doubtful
41	Y4C6A.2d_7	ref_frame-2|Y4C6A.2alt_frame-3			5.806938067074164	100.0	0.0	0.0				Single Protein		Y4C6A.2d_7	0	1	1	0	1	0	1	0.0	0	Doubtful
42	O02169_REVERSED	Uncharacterized protein (O02169_REVERSED_CAEEL)-REVERSED			84.39224879782348	76.69	0.0	0.0				Single Protein		O02169_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
43	D2063.2_1_REVERSED	ref_frame-1|D2063.2alt_frame-2-REVERSED			4.76535603545727	100.0	0.0	0.0				Single Protein		D2063.2_1_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
44	Y102A5A.1_4	ref_frame-1|Y102A5A.1alt_frame-2			6.02893921527538	100.0	0.0	0.0				Single Protein		Y102A5A.1_4	0	1	1	0	1	0	1	0.0	0	Doubtful
45	Q86D09_REVERSED	COLlagen (Q86D09_REVERSED_CAEEL)-REVERSED			77.83115660239791	58.92	0.0	0.0				Single Protein		Q86D09_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
46	E04D5.1a.1_2_REVERSED	ref_frame-2|E04D5.1alt_frame-3-REVERSED			7.891005201322991	100.0	0.0	0.0				Single Protein		E04D5.1a.1_2_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
47	Q9N3F9_REVERSED	Uncharacterized protein (Q9N3F9_REVERSED_CAEEL)-REVERSED			33.23532478033332	54.01	0.0	0.0				Single Protein		Q9N3F9_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
48	Q9TYU5	Histone acetyltransferase Tip60 homolog (TIP60_CAEEL)	mys-1	V	53.10893381268353	94.1	0.0	0.0				Single Protein		Q9TYU5	0	1	1	0	1	0	1	0.0	0	Doubtful
49	U4PCA0	Uncharacterized protein (U4PCA0_CAEEL)	CELE_T05C7.7		4.463255216300531	100.0	0.0	0.0				Single Protein		U4PCA0	0	1	1	0	1	0	1	0.0	0	Doubtful
50	Q9TYU4	Uncharacterized protein (Q9TYU4_CAEEL)	CELE_VC5.2		67.3665333088533	81.63	0.0	0.0				Single Protein		Q9TYU4	0	1	1	0	1	0	1	0.0	0	Doubtful
51	C29F3.1_3	ref_frame-1|C29F3.1alt_frame-2			5.350759693899642	100.0	0.0	0.0				Single Protein		C29F3.1_3	0	1	1	0	1	0	2	0.0	0	Doubtful
52	G5EGL2_REVERSED	Uncharacterized protein (G5EGL2_REVERSED_CAEEL)-REVERSED			40.78303095547472	91.8	0.0	0.0				Single Protein		G5EGL2_REVERSED	0	3	3	0	3	0	3	0.0	1	Doubtful
53	Q20529_REVERSED	Serpentine Receptor, class H (Q20529_REVERSED_CAEEL)-REVERSED			38.73070733281453	34.31	0.0	0.0				Single Protein		Q20529_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
54	Q93519_REVERSED	Delta-like protein (Q93519_REVERSED_CAEEL)-REVERSED			48.30364865877964	85.01	0.0	0.0				Single Protein		Q93519_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
55	Y57A10B.3_1	ref_frame-1|Y57A10B.3alt_frame-2			6.45058846354763	100.0	0.0	0.0				Single Protein		Y57A10B.3_1	0	1	1	0	1	0	1	0.0	0	Doubtful
56	T22C1.8_1	ref_frame-1|T22C1.8alt_frame-2			5.425001152796262	100.0	0.0	0.0				Single Protein		T22C1.8_1	0	1	1	0	1	0	1	0.0	0	Doubtful
57	G5EDF0_REVERSED	GRainyHead (Drosophila transcription factor) homolog (G5EDF0_REVERSED_CAEEL)-REVERSED			64.01155350645506	63.77	0.0	0.0				Related Proteins	W6RT88_REVERSED	G5EDF0_REVERSED, W6RT88_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
58	G5EE96_REVERSED	Oxoglutarate/malate carrier protein (G5EE96_REVERSED_CAEEL)-REVERSED			32.001516251268306	86.9	0.0	0.0				Single Protein		G5EE96_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
59	C27B7.4_2	ref_frame-2|C27B7.4alt_frame-1			5.85989184515773	100.0	0.0	0.0				Single Protein		C27B7.4_2	0	1	1	0	1	0	1	0.0	0	Doubtful
60	W03G9.4.2_2	ref_frame-2|W03G9.4alt_frame-3			9.280905157388807	69.51	0.0	0.0				Single Protein		W03G9.4.2_2	0	1	1	0	1	0	1	0.0	0	Doubtful
61	O45611_REVERSED	Rho GTPase Activating protein (O45611_REVERSED_CAEEL)-REVERSED			150.9682134968059	71.51	0.0	0.0				Single Protein		O45611_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
62	Q1W0R5	Uncharacterized protein (Q1W0R5_CAEEL)	CELE_F10G7.10		208.49321451033157	87.34	0.0	0.0				Related Proteins	Q1W0R6, Q1W0R7	Q1W0R5, Q1W0R6, Q1W0R7	0	1	1	0	1	0	1	0.0	0	Doubtful
63	Y39G10AR.22_2	ref_frame-1|Y39G10AR.22alt_frame-3			5.59262259129014	100.0	0.0	0.0				Single Protein		Y39G10AR.22_2	0	1	1	0	1	0	1	0.0	0	Doubtful
64	Q23602_REVERSED	Uncharacterized protein (Q23602_REVERSED_CAEEL)-REVERSED			48.42279577664114	86.68	0.0	0.0				Single Protein		Q23602_REVERSED	0	3	3	0	3	0	3	0.0	1	Doubtful
65	P54889	Probable delta-1-pyrroline-5-carboxylate synthase (ALH13_CAEEL)	alh-13	X	86.63976651188938	73.69	0.0	0.0				Single Protein		P54889	0	1	1	0	1	0	1	0.0	0	Doubtful
66	Y57G11C.34_1_REVERSED	ref_frame-1|Y57G11C.34alt_frame-2-REVERSED			9.040837005552488	100.0	0.0	0.0				Single Protein		Y57G11C.34_1_REVERSED	0	1	1	0	1	0	2	0.0	1	Doubtful
67	Q9TYV5	NucleOLar protein (Q9TYV5_CAEEL)	nol-1	II	73.85921008030454	78.16	9.19	96.25250603633054				Single Protein		Q9TYV5	5	7	7	5	7	7	9	100.0	0	Confident
68	P34275_REVERSED	Probable acyl-CoA dehydrogenase 6 (IVD_CAEEL)-REVERSED			45.29718697495497	82.84	0.0	0.0				Single Protein		P34275_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
69	Q10933_REVERSED	Uncharacterized protein B0304.4 (YT24_CAEEL)-REVERSED			14.3844371255307	100.0	0.0	0.0				Single Protein		Q10933_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
70	Q8I4N3_REVERSED	Nucleoporin ndc-1 (NDC1_CAEEL)-REVERSED			65.72088913414527	76.36	0.0	0.0				Single Protein		Q8I4N3_REVERSED	0	1	1	0	1	0	1	0.0	1	Doubtful
