	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	P68104				50.10910826932214	60.61	12.55	361.8475742171135					Related Proteins	Q5VTE0	P68104, Q5VTE0	5	5	5	5	5	5	12	12	100.0	Confident
2	Q9Y5U2				34.30462719879434	42.86	6.38	304.04731908512184					Single Protein		Q9Y5U2	2	2	2	2	2	2	3	3	100.0	Confident
3	P60660				16.91913314499716	82.12	13.91	283.9117350397495					Single Protein		P60660	2	3	3	2	3	2	3	4	100.0	Confident
4	P17844				69.10473382539206	71.5	3.91	95.26815998000484					Single Protein		P17844	2	6	2	1	2	1	3	8	100.0	Confident
5	Q9UKK3				192.47238391119436	64.15	3.31	52.87898771453337					Single Protein		Q9UKK3	4	5	5	4	5	4	6	7	100.0	Confident
6	Q5VWG9				103.51708529391692	65.34	3.23	46.26331509820379					Single Protein		Q5VWG9	2	4	4	2	4	2	2	4	100.0	Confident
7	P22314				117.77432920492443	73.44	1.42	23.426596716394634					Single Protein		P22314	1	2	2	1	2	1	1	3	100.0	Doubtful
8	P61978				50.94440274865072	77.11	4.75	112.2268900288015					Single Protein		P61978	2	2	2	2	2	2	3	3	100.0	Confident
9	Q8WXI9				65.21999528964584	77.91	2.36	41.94781995205692					Single Protein		Q8WXI9	1	2	2	1	2	1	1	2	100.0	Doubtful
10	O95983				32.82332978686719	76.98	5.15	85.06085712500432					Single Protein		O95983	1	1	1	1	1	1	1	1	100.0	Doubtful
11	Q07955				27.727814961380233	100.0	17.34	338.5284918644325					Single Protein		Q07955	4	4	4	4	4	4	7	7	100.0	Confident
12	Q8TAQ2				132.7967512662691	62.27	0.91	27.44601279833686					Related Proteins	Q92922	Q8TAQ2, Q92922	1	1	0	0	1	1	2	2	100.0	Doubtful
13	P27348				27.746766754682028	89.39	15.92	233.30977954286897					Single Protein		P27348	3	3	2	2	2	2	4	6	100.0	Confident
14	Q9Y4X5				64.07577472036868	67.32	10.95	227.10134518003343					Single Protein		Q9Y4X5	7	7	7	7	7	7	13	14	100.0	Confident
15	Q9NW82				73.15503997746953	76.91	1.99	35.13989507459195					Single Protein		Q9NW82	1	1	1	1	1	1	1	1	100.0	Doubtful
16	Q01130				25.461183837817952	100.0	3.62	193.9849411357565					Related Proteins	Q9BRL6	Q01130, Q9BRL6	1	1	1	1	1	1	2	2	100.0	Doubtful
17	Q9NX58				43.58786359600625	93.4	24.01	341.23094240859257					Single Protein		Q9NX58	6	7	7	6	7	6	14	16	100.0	Confident
18	Q14974				97.1080146943779	59.13	11.53	181.70023226000094					Single Protein		Q14974	7	10	10	7	10	7	15	18	100.0	Confident
19	P52292				57.82594715606122	57.47	2.84	112.2268900288015					Single Protein		P52292	1	1	1	1	1	1	2	2	100.0	Doubtful
20	Q14980				238.11522374594037	93.05	6.81	65.77404319821939					Single Protein		Q14980	10	12	12	10	12	10	22	24	100.0	Confident
21	O75643				244.35261769115783	76.03	2.86	43.658380646063065					Single Protein		O75643	4	6	6	4	6	4	7	9	100.0	Confident
22	O94776				74.97573718107209	83.08	7.19	109.24344791095596					Single Protein		O94776	4	6	6	4	6	4	5	7	100.0	Confident
23	Q9UJX2				68.78999026641262	79.06	11.73	133.571413925454					Single Protein		Q9UJX2	6	9	9	6	9	6	9	13	100.0	Confident
24	Q9UJX6				93.76884007973463	74.09	6.57	249.40485277784285					Single Protein		Q9UJX6	5	8	8	5	8	5	17	21	100.0	Confident
25	Q9UJX5				92.05770792388299	68.69	6.31	219.84959995385725					Single Protein		Q9UJX5	5	6	6	5	6	5	18	21	100.0	Confident
26	Q9UJX4				85.02277022825565	79.87	16.69	147.75578903046312					Single Protein		Q9UJX4	8	9	9	8	9	8	13	14	100.0	Confident
27	Q9UJX3				66.81284269657043	74.62	22.2	386.18103176449614					Single Protein		Q9UJX3	11	12	12	11	12	11	24	26	100.0	Confident
28	Q9Y5B9				119.83841950983168	77.84	1.05	45.51026750637174					Single Protein		Q9Y5B9	1	3	3	1	3	1	2	4	100.0	Doubtful
29	P10412				21.85200430480146	100.0	22.83	741.3888770785766					Single Protein		P10412	7	8	5	5	8	7	22	23	100.0	Confident
30	O75607				19.33140122125653	79.78	17.42	452.8592111725582					Single Protein		O75607	2	2	2	2	2	2	4	5	100.0	Confident
31	P08107				70.00903707472403	70.2	13.42	101.80859065220724					Single Protein		P08107	7	10	5	3	8	5	11	14	100.0	Confident
32	P31946				28.064830628249755	100.0	8.94	104.56261461220043					Single Protein		P31946	2	2	1	1	1	1	2	2	100.0	Doubtful
33	P31947				27.75669340650096	79.44	12.9	103.71936772016656					Single Protein		P31947	2	2	1	1	1	1	2	2	100.0	Doubtful
34	P29692				31.10278320777167	73.67	32.03	333.0995273322234					Single Protein		P29692	6	6	6	6	6	6	11	13	100.0	Confident
35	Q14839				217.86707363306158	75.42	4.13	30.247934106951966					Single Protein		Q14839	5	8	6	3	8	5	6	10	100.0	Confident
36	Q9BS18				8.516101684246403	62.16	13.51	289.6667026419066					Single Protein		Q9BS18	1	1	1	1	1	1	1	1	100.0	Doubtful
